basisOfRecord	catalogNumber	collectionCode	continent	datasetID	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	individualCount	institutionCode	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	samplingEffort	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	eventID	eventRemarks	footprintSRS	language	parentEventID	recordedBy	samplingProtocol	eventTime	identifiedBy
Occurrence	51129	Biomôr4 Grab	The Outer Bristol Channel	https://marineinfo.org/id/dataset/3068	10	51.2583	-4.6067833333333335	SampleSize=Ind/0.1 m²;	2003-07-10	29	1.0	The National Museum of Wales	49.0	49.0	2012-06-25 13:12:28	7	urn:catalog:The National Museum of Wales:Biomôr4 Grab:51129	Quantitative station: Sample = duplicate 92 kg 0.1 m² modified Van Veen grab samples; sample volume = at least 5 litres of sediment (equivalent to a sampling depth of 5 cm across the subrectangular grab bite)	present	Ind/0.1 m²	Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2003	0002184c-b8b8-46d2-9494-dfb1af418897	7d92856b-a7fe-4e99-89c9-cc1d56354134	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	49.0	1057795200000	1057795200000	1057795200000	2003	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	48.0	7751	12.44	33.19										
Occurrence	MRCCW10000038584	Marine Recorder Snapshot extract of surveys entered by NRW		https://marineinfo.org/id/dataset/8017	6	51.86505	-5.333775		1975-06-06						2022-01-18 09:29:51	6	MRCCW10000038584		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	1975	0046ed1c-d138-49ad-91b0-c95b17f2cfff	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		171244800000	171244800000	171244800000	1975	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	['NO_DEPTH', 'ON_LAND']	-47.0	-64	11.95	34.19	Marine Recorder Snapshot extract of surveys entered by NRW	M60*19	sample	EPSG:4326	en	MRCCW10000001262	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW10000000044_METH_001		
Occurrence	51139	Biomôr4 Grab	The Outer Bristol Channel	https://marineinfo.org/id/dataset/3068	10	51.3733	-4.302016666666667	SampleSize=Ind/0.1 m²;	2003-07-10	39	1.0	The National Museum of Wales	42.0	42.0	2012-06-25 13:12:28	7	urn:catalog:The National Museum of Wales:Biomôr4 Grab:51139	Quantitative station: Sample = duplicate 92 kg 0.1 m² modified Van Veen grab samples; sample volume = at least 5 litres of sediment (equivalent to a sampling depth of 5 cm across the subrectangular grab bite)	present	Ind/0.1 m²	Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2003	005eeb05-64bb-4f11-a533-150b8685d53a	7d92856b-a7fe-4e99-89c9-cc1d56354134	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	42.0	1057795200000	1057795200000	1057795200000	2003	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	41.8	19251	12.35	32.53										
Occurrence	RSMP_EEC2008_Site 330.3_367633			https://marineinfo.org/id/dataset/5922	15	50.44678	0.42201		2008-08-15			CEFAS	42.7	42.7	2018-04-09 15:18:52	8	RSMP_EEC2008_Site 330.3_367633		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2008	0065605b-5f49-49c9-aeb2-97cf01a870ae	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	42.7	1218758400000	1218758400000	1218758400000	2008	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	42.0	34289	12.74	34.26	RSMP Baseline Dataset	EEC2008_Site 330.3	sample	EPSG:4326	en					
Occurrence	RSMP_CEFAS_DG_6109_367120			https://marineinfo.org/id/dataset/5922	7	51.85417	1.47872		2003-06-07			CEFAS	0.0	0.0	2018-04-09 15:18:52	6	RSMP_CEFAS_DG_6109_367120		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2003	0098c73a-fb0f-4e47-b431-4d5cc788c310	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	0.0	1054944000000	1054944000000	1054944000000	2003	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	11.4	13002	12.12	34.19	RSMP Baseline Dataset	CEFAS_DG_6109	sample	EPSG:4326	en					
Occurrence	RSMP_HUM_REC_091 A_367402			https://marineinfo.org/id/dataset/5922	21	53.55662	0.54986		2009-05-21			CEFAS	18.6	18.6	2018-04-09 15:18:52	5	RSMP_HUM_REC_091 A_367402		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2009	00a35648-d716-4b2d-9286-f947f3a00663	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	18.6	1242864000000	1242864000000	1242864000000	2009	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	16.2	26529	10.55	34.14	RSMP Baseline Dataset	HUM_REC_091 A	sample	EPSG:4326	en					
Occurrence	RSMP_E1962_027_366348			https://marineinfo.org/id/dataset/5922	24	53.48794	1.89		2012-08-24			CEFAS	22.5	22.5	2018-04-09 15:18:52	8	RSMP_E1962_027_366348		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2012	00a55cb4-5bd2-457d-9a8c-adbcbf519103	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	22.5	1345766400000	1345766400000	1345766400000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	21.8	72908	10.91	34.43	RSMP Baseline Dataset	E1962_027	sample	EPSG:4326	en					
Occurrence	RSMP_RSMP_EC_0170_Baseline_367703			https://marineinfo.org/id/dataset/5922	7	50.487	0.4315		2014-08-07			CEFAS	47.6	47.6	2018-04-09 15:18:52	8	RSMP_RSMP_EC_0170_Baseline_367703		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2014	00bffb5a-65db-4742-9a9d-6e3168caad5d	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	47.6	1407369600000	1407369600000	1407369600000	2014	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	43.4	30375	12.74	34.26	RSMP Baseline Dataset	RSMP_EC_0170_Baseline	sample	EPSG:4326	en					
Occurrence	RSMP_RSMP_A_0434_Baseline_367679			https://marineinfo.org/id/dataset/5922	21	52.48179	2.02827		2015-06-21			CEFAS	26.7	26.7	2018-04-09 15:18:52	6	RSMP_RSMP_A_0434_Baseline_367679		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	2015	00c7e034-9e61-4caf-be65-6975c0bc20e2	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	26.7	1434844800000	1434844800000	1434844800000	2015	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	26.2	17949	11.57	34.28	RSMP Baseline Dataset	RSMP_A_0434_Baseline	sample	EPSG:4326	en					
Occurrence	JNCCMNCR70470215	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)		https://marineinfo.org/id/dataset/8016	11	53.13557	-5.940378		1996-09-11T11:17:00				33.2000008		2022-01-18 09:29:51	9	JNCCMNCR70470215		present		Nymphon brevirostre	urn:lsid:marinespecies.org:taxname:150520	1996	00dc074f-d18c-477f-805b-6aa8eb948414	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	33.2000008	842400000000	842400000000	842400000000	1996	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon brevirostre	1	2	1065	1274	1302	1358	379601	379609	1566	134591	150520	150520	Nymphon brevirostre	[]	30.6	7016	11.39	34.34	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	532.002.001	sample	EPSG:4326	en	JNCCMNCR70011408	Contact: info@nmni.com	JNCCMNCR70000532_METH_002	11:17:00	Mark Costello
