basisOfRecord	catalogNumber	class	collectionCode	coordinateUncertaintyInMeters	country	datasetID	datasetName	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	locality	locationID	modified	month	occurrenceID	occurrenceStatus	order	otherCatalogNumbers	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	eventID	eventTime	footprintSRS	footprintWKT	language	parentEventID	samplingProtocol	eventRemarks	sst	sss	maximumDepthInMeters	minimumDepthInMeters	depth	continent
PreservedSpecimen	INV.69004	Pycnogonida	urn:catalog:RBINS:Pycnogonida	999999.0	France	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	1984-01	17	50.75	1.6	1981-09-17	Ammotheidae	26331/D504	Ammothella	Wouters Karel (Dr.)	RBINS-Scientific Heritage	Animalia	unknown	Pointe de la Crèche	http://www.geonames.org/3022634	2017-04-06 10:28:50	9	http://collections.naturalsciences.be/specimen/391070	present	Pantopoda	urn:catalog:RBINS:IG:26331	Arthropoda	container type: vial; preservation method: alcohol	Lievrouw A.	Ammothella longipes	(Hodge, 1864)	urn:lsid:marinespecies.org:taxname:146893	unknown	longipes	specimen	1981	0059f7f9-d118-441d-b723-271ae9dfc042	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	369532800000	369532800000	369532800000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Achelia longipes (Hodge, 1864)	['NO_DEPTH', 'ON_LAND']	-47.0	-297														
Occurrence	115da7dd36b637e0837860786407_60786407_134614_3d727006ad	Pycnogonida	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	0.0		https://marineinfo.org/id/dataset/8244	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)		14	45.754734	-1.0702833	2020-10-14T00:00:00	Ammotheidae		Ammothella			Animalia		083-P-066 - SE04 - Chenal de Bugée SM - ZooBenthos Biology_60012857_BIO_ZooBenthos	60012857_BIO_ZooBenthos	2023-04-05 17:28:04	10	115da7dd36b637e0837860786407_60786407_134614_3d727006ad	present	Pantopoda		Arthropoda			Ammothella longipes		urn:lsid:marinespecies.org:taxname:134614				2020	00fa29ca-6e7e-4270-b88a-3c502bd35052	9c2d6787-245d-4661-b052-c14bccfe1c1b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1602633600000	1602633600000	1602633600000	2020	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Ammothella longipes	['NO_DEPTH']	-1.0	83	115da7dd36b637e08378	00:00:00	EPSG:4326	POLYGON ((45.7547340393 -1.0702832937, 45.7547340393 -1.0702832937, 45.7547340393 -1.0702832937, 45.7547340393 -1.0702832937, 45.7547340393 -1.0702832937))	en	60012857_BIO_ZooBenthos	Sampling device : Benne Smith Mc Intyre ; Taxon count after sieving 1 mm (square mesh)							
Occurrence	MRUMU1000000A2C7	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)			https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)		9	54.33991	-5.520574	1986-04-09	Ammotheidae		Ammothella	Ian Fuller		Animalia				2022-01-18 09:29:51	4	MRUMU1000000A2C7	present	Pantopoda		Arthropoda		Contact: info@nmni.com	Ammothella longipes		urn:lsid:marinespecies.org:taxname:134614				1986	0104d8fb-5793-435c-aecb-1b77c4ea6f54	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	513388800000	513388800000	513388800000	1986	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Ammothella longipes	['NO_DEPTH']	0.6	97	MRUMU10000000037.15		EPSG:4326		en	MRUMU10000000037	MRUMU1000000001B_METH_001	sample	10.93	34.29				
Occurrence	BENTHOBSPNOCC_0001372_0146893_DNS	Pycnogonida	"Specific diversity data of macrobenthic communities in the ""Pierre Noire"" study site in the English Channel from 1977 on"	20.0		https://marineinfo.org/id/dataset/2194	"Specific diversity data of macrobenthic communities in the ""Pierre Noire"" study site in the English Channel from 1977 on"		3	48.8027778	-3.8805556	1981-12-03	Ammotheidae		Ammothella			Animalia				2019-08-28 14:11:55	12	BENTHOBSPNOCC_0001372_0146893_DNS	present	Pantopoda		Arthropoda			Ammothella longipes		urn:lsid:marinespecies.org:taxname:146893				1981	01ab9568-427c-43f3-9a39-5f4639f92937	ed7cb012-2169-41e9-98b6-3da7c23d018f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	376185600000	376185600000	376185600000	1981	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Achelia longipes	['NO_DEPTH']	61.0	9816	BENTHOBSPNEV0001372		EPSG:4326		en		http://ipt.sb-roscoff.fr/ipt/resource?r=benthobs-pn#methods	sample	13.01	35.04				
Occurrence	RSMP_RSMP_A_0129_Baseline_871766	Pycnogonida				https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset		20	52.48137	1.89643	2014-09-20	Ammotheidae		Ammothella		CEFAS	Animalia				2018-04-09 15:18:52	9	RSMP_RSMP_A_0129_Baseline_871766	present	Pantopoda		Arthropoda			Ammothella longipes		urn:lsid:marinespecies.org:taxname:146893				2014	028adcfa-e44d-436a-beba-017dc5227579	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1411171200000	1411171200000	1411171200000	2014	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Achelia longipes	[]	26.4	9021	RSMP_A_0129_Baseline		EPSG:4326		en			sample	11.57	34.27	28.0	28.0	28.0	
Occurrence	145942172	Pycnogonida	29341	70.7	GB	https://marineinfo.org/id/dataset/3187			8	50.764964948455464	-4.835726913390644	1994-09-08/1994-09-08	Ammotheidae		Ammothella		Porcupine Marine Natural History Society	Animalia		Littoral Survey		2014-04-29 08:35:45	9	urn:catalog:Porcupine Marine Natural History Society:29341:145942172	present	Pantopoda		Arthropoda		Porcupine Marine Natural History Society	Ammothella longipes		urn:lsid:marinespecies.org:taxname:146893				1994	030d6deb-ff6f-40f4-838b-a12a6b6a1cf3	80486acf-df76-4f48-b610-91258e8c3652	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	778982400000	778982400000	778982400000	1994	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Achelia longipes	['NO_DEPTH']	47.4	11579									12.81	34.03				Europe
Occurrence	145941135	Pycnogonida	29335	70.7	GB	https://marineinfo.org/id/dataset/3187			27	53.23736862630956	-4.522883599747317	1983-03-27/1983-03-27	Ammotheidae		Ammothella		Porcupine Marine Natural History Society	Animalia		Littoral Survey		2014-04-29 08:35:45	3	urn:catalog:Porcupine Marine Natural History Society:29335:145941135	present	Pantopoda		Arthropoda		Porcupine Marine Natural History Society	Ammothella longipes		urn:lsid:marinespecies.org:taxname:146893				1983	03284c34-7e15-47d6-9589-44cb1e988f35	80486acf-df76-4f48-b610-91258e8c3652	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	417571200000	417571200000	417571200000	1983	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Achelia longipes	['NO_DEPTH', 'ON_LAND']	-5.0	-312									11.53	34.2				Europe
Occurrence	287074675	Pycnogonida	66440	70.7	GB	https://marineinfo.org/id/dataset/2997			14	51.82128308621969	-5.109172616203767	2007-08-14/2007-08-14	Ammotheidae		Ammothella		Natural Resources Wales	Animalia		Nolton Haven		2014-04-30 15:16:38	8	urn:catalog:Natural Resources Wales:66440:287074675	present	Pantopoda		Arthropoda		Hebog Ltd	Ammothella longipes		urn:lsid:marinespecies.org:taxname:134614				2007	0467862b-6e91-436e-b6f3-991842314905	63187f4a-1af9-4611-8f05-e806676ab55b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1187049600000	1187049600000	1187049600000	2007	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Ammothella longipes	['NO_DEPTH', 'ON_LAND']	-4.0	-87									12.0	34.0				Europe
Occurrence	RSMP_84284_871754	Pycnogonida				https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset		29	53.30792	-3.86837	2010-06-29	Ammotheidae		Ammothella		CEFAS	Animalia				2018-04-09 15:18:52	6	RSMP_84284_871754	present	Pantopoda		Arthropoda			Ammothella longipes		urn:lsid:marinespecies.org:taxname:146893				2010	04ed0270-b489-4ab0-9420-49eaee10e17b	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1277769600000	1277769600000	1277769600000	2010	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Achelia longipes	[]	14.4	1571	84284		EPSG:4326		en			sample	11.39	33.47	0.0	0.0	0.0	
Occurrence	287151681	Pycnogonida	66495	70.7	GB	https://marineinfo.org/id/dataset/2997			4	53.22268494521724	-4.172915944881706	2004-08-04/2004-08-04	Ammotheidae		Ammothella		Natural Resources Wales	Animalia		Ynys Welltog		2014-04-30 15:16:38	8	urn:catalog:Natural Resources Wales:66495:287151681	present	Pantopoda		Arthropoda		Institute of Estuarine and Coastal Studies	Ammothella longipes		urn:lsid:marinespecies.org:taxname:134614				2004	0511a8c7-5dbf-4787-b88c-68e5ee60f784	63187f4a-1af9-4611-8f05-e806676ab55b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1091577600000	1091577600000	1091577600000	2004	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothella longipes	1	2	1065	1274	1302	1358	379601	379608	1562	134570	134614	134614	Ammothella longipes	['NO_DEPTH']	-12.0	52														Europe
