basisOfRecord	catalogNumber	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	institutionCode	language	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	footprintWKT	identifiedBy	parentEventID	recordedBy	samplingProtocol	bibliographicCitation	coordinateUncertaintyInMeters	infraspecificEpithet	locality	occurrenceRemarks	scientificNameAuthorship	specificEpithet	eventTime	fieldNumber
Occurrence	RSMP_RSMP_H_0340_Baseline_909083	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	31	53.57469	0.32077	2014-08-31	RSMP_H_0340_Baseline	sample	EPSG:4326	CEFAS	en	13.0	13.0	2018-04-09 15:18:52	8	RSMP_RSMP_H_0340_Baseline_909083	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2014	107905e7-f5cb-418b-a5f0-85ff44e964de	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	13.0	1409443200000.0	1409443200000.0	1409443200000.0	2014.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	[]	11.6	11824	10.5	34.03															
Occurrence	MRNE013700005C10	https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	9	50.31735	-4.085281	2017-09-09	MRNE013700000189.004	sample	EPSG:4326		en			2022-01-18 09:29:51	9	MRNE013700005C10	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2017	10e59810-daa8-4bbb-a73a-98c2c199356c	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1504915200000.0	1504915200000.0	1504915200000.0	2017.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	['NO_DEPTH']	-58.0	52	12.81	34.79	Marine Recorder Snapshot extract of surveys entered by Natural England	LINESTRING (-4.159304 50.39067, -3.929403 50.535958024)	APEM	MRNE013700000189	Contact: enquiries@naturalengland.org.uk	MRNE01370000003B_METH_001									
Occurrence	314960	https://marineinfo.org/id/dataset/82			45.958523973682	-1.731034726156					VLIZ				2005-04-04 10:20:42		urn:catalog:VLIZ:Tisbe:314960	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:150576		1f8be6ae-8b90-40de-950d-756b55985dc3	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']						False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene emaciata tiberii	['NO_DEPTH']	43.0	26013	15.15	34.01	Tisbe						Stock, J.H. (1952). Revision of the European representatives of the genus <i>Callipallene</i> Flynn, 1929 (Pycnogonida). <i>Beaufortia 13</i>: 1-14	965359.0	tiberii	French Exclusive Economic Zone	AphiaID: 150576	(Dohrn, 1881)	emaciata		
Occurrence	RSMP_E2110_005_909067	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	6	53.49377	0.60642	2012-10-06	E2110_005	sample	EPSG:4326	CEFAS	en	20.4	20.4	2018-04-09 15:18:52	10	RSMP_E2110_005_909067	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2012	257c836e-7202-4ab9-a370-336ea839fd66	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	20.4	1349481600000.0	1349481600000.0	1349481600000.0	2012.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	[]	18.4	26876	10.65	34.1															
Occurrence	RSMP_E2110_030_909071	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	5	53.34977	0.62889	2012-10-05	E2110_030	sample	EPSG:4326	CEFAS	en	22.2	22.2	2018-04-09 15:18:52	10	RSMP_E2110_030_909071	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2012	27834073-1a01-4ae1-ac20-a54a66112636	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	22.2	1349395200000.0	1349395200000.0	1349395200000.0	2012.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	[]	20.2	22311	10.8	34.07															
Occurrence	MRNE0154000140FC	https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	18	50.36413	-4.190345	2015-05-18	MRNE01540000054C.001	sample	EPSG:4326		en			2022-01-18 09:29:51	5	MRNE0154000140FC	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2015	2f969a50-c41c-49d9-894c-4e111061df79	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1431907200000.0	1431907200000.0	1431907200000.0	2015.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	['NO_DEPTH']	7.6	487	12.8	34.8	Marine Recorder Snapshot extract of surveys entered by Natural England		Hebog Environmental Ltd	MRNE01540000054C	Contact: enquiries@naturalengland.org.uk	MRNE015400000018_METH_002									
Occurrence	MRCON0420000226A	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	7	50.29161	-0.5773598	2012-06-07T13:14:00	MRCON04200000164.001	sample	EPSG:4326		en	50.0		2022-01-18 09:29:51	6	MRCON0420000226A	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2012	379d4079-c127-40a4-ae62-a360683dff2a	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	50.0	1339027200000.0	1339027200000.0	1339027200000.0	2012.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	[]	47.0	50086	12.79	34.44	Marine Recorder Snapshot extract of surveys entered by JNCC		JNCC/Cefas	MRCON04200000164	Contact: MarineRecorder@jncc.gov.uk	MRCON04200000008_METH_003								13:14:00	
Occurrence	RSMP_RSMP_H_0670_Baseline_909087	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	27	53.36065	0.39227	2014-09-27	RSMP_H_0670_Baseline	sample	EPSG:4326	CEFAS	en	15.0	15.0	2018-04-09 15:18:52	9	RSMP_RSMP_H_0670_Baseline_909087	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2014	3bd0fe60-b406-4850-92ae-62d976c7b35c	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	15.0	1411776000000.0	1411776000000.0	1411776000000.0	2014.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	[]	12.8	8459	10.81	33.93															
HumanObservation	24812	https://marineinfo.org/id/dataset/490	Bigood	1	35.0	-6.0	1984-06-01T00:00:00+00:00	Waren epibenthic sledge_198461_DW-50_NA		EPSG:4326		en	526.0	526.0	2022-01-18 09:29:51	6	Ifremer_bio_dba_24812	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	1984	454801a5-79ae-4493-8d8d-df05173c9c56	b0a7add2-dd9e-4020-9ca4-5df048c8f6a2	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	526.0	454896000000.0	454896000000.0	454896000000.0	1984.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-82.0	-21152			bio_dba		STOCK Jan		BOUCHET Philippe	Waren epibenthic sledge		50.0		Detroit de Gibraltar			tiberi	00:00:00+00:00	DW-50
Occurrence	RSMP_RSMP_H_0495_Baseline_909085	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	31	53.55374	0.2931	2014-08-31	RSMP_H_0495_Baseline	sample	EPSG:4326	CEFAS	en	13.0	13.0	2018-04-09 15:18:52	8	RSMP_RSMP_H_0495_Baseline_909085	present	Callipallene tiberii	urn:lsid:marinespecies.org:taxname:134648	2014	49efc98e-a349-41f4-9087-7c872822ee96	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	13.0	1409443200000.0	1409443200000.0	1409443200000.0	2014.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene tiberii	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134648	134648	Callipallene tiberi	[]	9.6	10907	10.5	34.03															
