basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	eventTime	footprintSRS	language	maximumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	institutionCode	minimumDepthInMeters	identificationQualifier	identifiedBy	coordinateUncertaintyInMeters	footprintWKT	locality	locationID	geodeticDatum	ownerInstitutionCode	previousIdentifications	type
Occurrence	MRCON04000000DB4	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	4	53.65304	-4.725529	2012-02-04T05:59:00	MRCON0400000005F.01	sample	05:59:00	EPSG:4326	en	72.0	2022-01-18 09:29:51	2	MRCON04000000DB4	present	MRCON0400000005F	Contact: MarineRecorder@jncc.gov.uk	MRCON04000000008_METH_002	Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	2012	0028f469-39e0-4eff-a7be-6143c5a5eb0f	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	72.0	1328313600000.0	1328313600000.0	1328313600000.0	2012.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	[]	66.0	26648	11.39	34.11												
Occurrence	RSMP_THA_REC_ 15A_251165		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	3	51.81835	1.26308	2007-09-03	THA_REC_ 15A	sample		EPSG:4326	en	8.0	2018-04-09 15:18:52	9	RSMP_THA_REC_ 15A_251165	present				Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	2007	002fad22-b735-4d4d-a862-597c84b4799a	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	8.0	1188777600000.0	1188777600000.0	1188777600000.0	2007.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	[]	4.6	1507	12.16	34.14	CEFAS	8.0										
Occurrence	MRUMU10000030231	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	27	54.4622	-5.610695	2009-05-27	MRUMU10000001015.004	sample		EPSG:4326	en		2022-01-18 09:29:51	5	MRUMU10000030231	present	MRUMU10000001015	Contact: info@nmni.com	MRUMU100000000C9_METH_001	Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	2009	00722893-7826-44f3-9a4d-4bcfebfa2bab	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1243382400000.0	1243382400000.0	1243382400000.0	2009.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	['NO_DEPTH']	1.0	137	10.89	34.31			qualifier: (agg.)	NIEA/WMU								
Occurrence	79a59162133e12fe670d60743439_60743439_134599_622c05c461	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	https://marineinfo.org/id/dataset/8244	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	14	49.6700249	-1.6093191	2019-04-14T00:00:00	79a59162133e12fe670d		00:00:00	EPSG:4326	en		2023-04-05 17:28:04	4	79a59162133e12fe670d60743439_60743439_134599_622c05c461	present	60002840_BIO_ZooBenthos		Sampling device : Benne Van Veen 0,1 m2 ; Taxon count after sieving 1 mm (round mesh)	Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	2019	0084acd7-f2ed-4844-ad19-4967b1bbd08e	9c2d6787-245d-4661-b052-c14bccfe1c1b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		1555200000000.0	1555200000000.0	1555200000000.0	2019.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	['NO_DEPTH']	8.0	288	12.95	34.77					0.0	POLYGON ((49.6700248718 -1.6093190908, 49.6700248718 -1.6093190908, 49.6700248718 -1.6093190908, 49.6700248718 -1.6093190908, 49.6700248718 -1.6093190908))	016-P-044 - SSMF05 - Cherbourg SM - ZooBenthos Biology_60002840_BIO_ZooBenthos	60002840_BIO_ZooBenthos				
Occurrence	RSMP_EECREA2006#155#155#19759_251191		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	10	50.5385	0.25209	2006-09-10	EECREA2006#155#155#19759	sample		EPSG:4326	en	48.6	2018-04-09 15:18:52	9	RSMP_EECREA2006#155#155#19759_251191	present				Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	2006	00a4694b-e7e1-4ca0-8510-01a792c76ec5	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	48.6	1157846400000.0	1157846400000.0	1157846400000.0	2006.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	[]	47.0	21753	12.71	34.16	CEFAS	48.6										
Occurrence	RSMP_HABMAP_58a_251828		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset		52.0282	-5.7519		HABMAP_58a	sample		EPSG:4326	en	100.0	2018-04-09 15:18:52		RSMP_HABMAP_58a_251828	present				Achelia echinata	urn:lsid:marinespecies.org:taxname:134599		00b174ca-5145-4ab0-bba6-afa45df73bed	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	100.0					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	[]	101.0	28369	12.0	34.42	CEFAS	100.0										
Occurrence	MRNE0211000027F1	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	10	51.41182	0.6254364	2014-06-10T10:29:00	MRNE021100000014.018	sample	10:29:00	EPSG:4326	en		2022-01-18 09:29:51	6	MRNE0211000027F1	present	MRNE021100000014	Contact: enquiries@naturalengland.org.uk	MRNE021100000004_METH_001	Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	2014	00edaa4c-1ef1-4d86-b52a-be5c61980fae	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1402358400000.0	1402358400000.0	1402358400000.0	2014.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	['NO_DEPTH']	0.0	679	12.17	34.02			qualifier: agg.	APEM Ltd		LINESTRING (0.6492015 51.4281452, 0.8032998 51.47971838)						
Occurrence	JNCCMNCR10113284	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	29	50.65356	-1.909267	1990-06-29	263.0G3.001	sample		EPSG:4326	en		2022-01-18 09:29:51	6	JNCCMNCR10113284	present	JNCCMNCR10002280	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000263_METH_001	Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	1990	00f447df-48fa-4268-a201-81b7b3a396a1	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		646617600000.0	646617600000.0	646617600000.0	1990.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	['NO_DEPTH']	11.0	1508	12.67	34.58												
HumanObservation			dassh.ac.uk:DASSHDT00000381	2018 North Devon Coast Areas of Outstanding Natural Beauty Northam Burrows BioBlitz		51.066459	-4.2226912	2018-06-15					en				DASSHDT00000381_246_134599	present				Achelia echinata	urn:lsid:marinespecies.org:taxname:134599		00fbb489-81dc-4fcc-aa5a-21d7536b0ed8	2f7b53d1-8f62-47bf-8beb-e0b43935e82d	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1529020800000.0	1529020800000.0	1529020800000.0	2018.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata	True	['NO_DEPTH']	-4.0	192	12.43	32.66	DASSH		original name: Microscopic animals		500				EPSG:4326	4685: North Devon Area of Outstanding Natural Beauty (AONB)	Microscopic animals	sample
Occurrence	RSMP_CEFAS_MHN_10625_1020906		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	25	50.74511	0.55155	2001-07-25	CEFAS_MHN_10625	sample		EPSG:4326	en	0.0	2018-04-09 15:18:52	7	RSMP_CEFAS_MHN_10625_1020906	present				Achelia echinata	urn:lsid:marinespecies.org:taxname:134599	2001	0108a107-7f98-4f3d-aeb7-cccf29b981d3	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	0.0	996019200000.0	996019200000.0	996019200000.0	2001.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Ascorhynchoidea	Ammotheidae	Achelia	Achelia echinata	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134599	134599	Achelia echinata agg	True	[]	19.0	11332	12.62	33.83	CEFAS	0.0										
