basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinatePrecision	country	eventDate	fieldNumber	identifiedBy	locality	occurrenceRemarks	recordedBy	year	date_start	date_mid	date_end	date_year
HumanObservation	37892	SOMBASE Pycnogonids	-45.8499984741	49.748298645	BAS	250	250	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	1f13540b-81c8-4e3f-b80c-62a6a4ca3007	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	[]	213	41428	5.82	33.72													
HumanObservation	37910	SOMBASE Pycnogonids	-46.7332992554	51.6216011047	BAS	377	365	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	5944e4db-5eb0-4d72-be15-9f4482d9c013	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	371.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	['DEPTH_EXCEEDS_BATH']	24	30421	5.05	33.75													
HumanObservation	37864	SOMBASE Pycnogonids	-46.0433006287	49.4082984924	BAS	270	255	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	624ef518-6d3a-458a-890c-073024789ed8	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	262.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	[]	229	58632	5.68	33.73													
HumanObservation	SAMC-MBR-013519	MBR	-46.9333000183	37.8833007812	SAMC	120	120	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	779448ef-574d-44bb-bf4a-00585c01f20d	4f46f9d8-dc63-4546-9dd5-075df3d25e4a	['14fc439c-707d-41d6-a3d4-b9d2696205fe']	120.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	['DEPTH_EXCEEDS_BATH']	-24	264	5.6	33.81	100.0	South Africa	1976-07-02T00:00:00Z	MD 08/13 CP85	Arnaud	East Marion Island	Preparation:alch	Marion dufresne Survey	1976	205113600000.0	205113600000.0	205113600000.0	1976.0
HumanObservation	33991	SOMBASE Pycnogonids	-46.7165985107	37.9500007629	BAS	775	0	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	80565345-ec5c-4015-88bf-1369d6249e89	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	387.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	['DEPTH_EXCEEDS_BATH']	176	5017	5.71	33.82													
HumanObservation	38050	SOMBASE Pycnogonids	-46.0382995605	49.8333015442	BAS	227	227	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	86abe9e0-4824-48bb-a8df-f38eeee5ecf4	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	227.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	[]	284	26229	5.76	33.73													
HumanObservation	37905	SOMBASE Pycnogonids	-45.903301239	50.8899993896	BAS	178	178	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	977071b5-5c7d-402b-8df5-3ca2981d837b	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	178.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	[]	200	34053	5.6	33.74													
HumanObservation	38040	SOMBASE Pycnogonids	-45.9249992371	50.0583000183	BAS	183	178	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	9ffe8ee5-77ec-4463-9c32-afdeca15aa1e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	180.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	['DEPTH_EXCEEDS_BATH']	48	18621	5.73	33.73													
HumanObservation	37350	SOMBASE Pycnogonids	-49.5400009155	70.375	BAS	59	59	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	a4e1b00a-bf63-4b23-881c-440e97e7e6c9	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	59.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	[]	50	3859	3.81	33.78													
HumanObservation	37887	SOMBASE Pycnogonids	-45.7949981689	49.7332992554	BAS	334	320	Endeis viridis	urn:lsid:marinespecies.org:taxname:239847	ad7fcff7-a137-4d5a-9f50-5e64ce1cb266	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	327.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis viridis	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239847	239847	Endeis viridis	['DEPTH_EXCEEDS_BATH']	216	46255	5.85	33.71													
