basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	identifiedBy	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	eventTime	footprintWKT	locality	locationID	identificationQualifier	continent	country	institutionCode	fieldNumber	locationRemarks	maximumDepthInMeters	minimumDepthInMeters	scientificNameAuthorship	specificEpithet	taxonRemarks	depth	bibliographicCitation	occurrenceRemarks
Occurrence	MRUMU100000083F3	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	15	54.90552	-5.874197	1985-09-15	MRUMU10000000053.04	sample	EPSG:4326	Ian Fuller	en	2022-01-18 09:29:51	9	MRUMU100000083F3	present	MRUMU10000000053	Contact: info@nmni.com	MRUMU1000000001D_METH_001	Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730	1985	0351018c-bcf0-4013-b410-fd024f4be604	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	495590400000.0	495590400000.0	495590400000.0	1985.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH']	-12.0	34	10.77	34.55																			
Occurrence	86adbfcec31db3b01a2160229061_60229061_134730_11daa326cb	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	https://marineinfo.org/id/dataset/8244	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	25	44.6859169	-1.193167	2008-03-25T00:00:00	86adbfcec31db3b01a21		EPSG:4326		en	2023-04-05 17:28:04	3	86adbfcec31db3b01a2160229061_60229061_134730_11daa326cb	present	60000922_BIO_ZooBenthos		Sampling device : Square metallic corer 20 x 20 cm ; Taxon count after sieving 1 mm (square mesh)	Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730	2008	0435a62b-54cc-4509-be15-2e2f20f2df68	9c2d6787-245d-4661-b052-c14bccfe1c1b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1206403200000.0	1206403200000.0	1206403200000.0	2008.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH']	-0.6	1217	16.02	31.49	0.0	00:00:00	POLYGON ((44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712))	088-P-146 - Afrique int HZN - ZooBenthos Biology_60000922_BIO_ZooBenthos	60000922_BIO_ZooBenthos														
Occurrence	MRUMU10000008BB5	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	7	54.77646	-5.69445	1984-11-07	MRUMU1000000004A.09	sample	EPSG:4326	Ian Fuller	en	2022-01-18 09:29:51	11	MRUMU10000008BB5	present	MRUMU1000000004A	Contact: info@nmni.com	MRUMU1000000001D_METH_001	Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730	1984	0aaf2369-f30d-48b3-96d9-e38b9592c245	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	468633600000.0	468633600000.0	468633600000.0	1984.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH', 'ON_LAND']	-20.0	-36	10.79	34.42																			
Occurrence	DASSHDT00000142_SE_2168_134730	2012-2014 Orkney Islands Council Marine Non-Native Species Monitoring Programme	https://marineinfo.org/id/dataset/5666	2012-2014 Orkney Islands Council Marine Non-Native Species Monitoring Programme	26	58.916348	-3.3122672	2014-08-26	DASSHDT00000142_SE_2168	sample	EPSG:4326		en	2019-08-28 14:11:55	8	DASSHDT00000142_SE_2168_134730	present				Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730	2014	11e89a9c-d385-4919-a0dc-a4175227aca6	3c310763-cce7-499c-8bec-4ae728283da7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1409011200000.0	1409011200000.0	1409011200000.0	2014.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH', 'ON_LAND']	-1.0	-8	9.93	35.03	1.0					original name: Anoplodactylus virescens													
Occurrence	287196266	66563	https://marineinfo.org/id/dataset/692		6	51.71094107536151	-5.165305669192949	1960-06-06/1960-06-06						2014-04-16 15:57:02	6	urn:catalog:Natural Resources Wales:66563:287196266	present				Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730	1960	1674226b-fe50-4e6e-9271-c9225797d7ae	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	-302054400000.0	-302054400000.0	-302054400000.0	1960.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH']	1.4	161	12.11	33.87	70.7			Black Rocks Flat			Europe	GB	Natural Resources Wales										
Occurrence	MRUMU10000005252	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	25	55.2105	-6.582247	1984-09-25	MRUMU10000000089.13	sample	EPSG:4326	Ian Fuller	en	2022-01-18 09:29:51	9	MRUMU10000005252	present	MRUMU10000000089	Contact: info@nmni.com	MRUMU1000000001F_METH_001	Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730	1984	18691eb1-4454-4bb0-8d5d-9b5f842c9fc5	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	464918400000.0	464918400000.0	464918400000.0	1984.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH']	2.4	32	10.86	34.87																			
HumanObservation	Maerl_Diversity_Species_Inventory_UBBC_1873	Dr Jason Hall-Spencer.BIOMAERL: MAERL BIODIVERSITY.FUNCTIONAL STRUCTURE AND ANTHROPOGENIC IMPACTS.FINAL REPORT 1999.				48.3218333	-4.4105	1996-03/1998-06	UBBC_1996-03_1998-06							Maerl_Diversity_Species_Inventory_UBBC_1873	present			Smith-Mclntyre grabs,AQUAREVE dredge samples,Reineck Cores,Scuba divers  quadrats for macrofauna,Sea Urchins collected, CTD	Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730		1fc9d51a-0c1e-4194-a2ce-cb8323d5eec2	33452cc4-13c7-4355-894f-4a8833302841	['1ad35eb9-c615-4733-864a-b585aebcfb70']	825638400000.0	862358400000.0	899164800000.0	1997.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens		2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['DEPTH_EXCEEDS_BATH']	4.0	254	13.18	35.14				Rozegat Bank. Bay of Brest, Brittany.	UBBC				University Marine Biological Station Millport, Scotland	UBBC_1996-03_1998-06	GPS.Spatial extent of maerl 150ha. Control site.	80.0	0.0	(Hodge, 1864)	virescens	Name in original file:Anoplodactylus virescens	40.0		
Occurrence	564505	Tisbe	https://marineinfo.org/id/dataset/82			50.77295	1.615055							2006-07-17 08:38:06		urn:catalog:VLIZ:Tisbe:564505	present				Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730		242d5485-1a77-4352-b027-dd6b74ffc7aa	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH', 'ON_LAND']	-14.0	-620	12.6	34.07	3769.0			Wimereux					VLIZ					(Hodge, 1864)	virescens			Muller, Y. (2004). Faune et flore du littoral du Nord, du Pas-de-Calais et de la Belgique: inventaire. [Coastal fauna and flora of the Nord, Pas-de-Calais and Belgium: inventory]. Commission Régionale de Biologie Région Nord Pas-de-Calais: France. 307 pp.	AphiaID: 134730
HumanObservation	34251	SOMBASE Pycnogonids				-37.8330001831	77.5667037964														Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730		2487c6e6-027b-4270-a0d3-c7c9c1c8236a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens		2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['DEPTH_EXCEEDS_BATH', 'ON_LAND']	-411.0	-2390	15.18	35.11									BAS			100.0	0.0				50.0		
Occurrence	72f245abe9e69c1d712460102320_60102320_134730_11daa326cb	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	https://marineinfo.org/id/dataset/8244	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	6	44.6859169	-1.193167	2009-05-06T00:00:00	72f245abe9e69c1d7124		EPSG:4326		en	2023-04-05 17:28:04	5	72f245abe9e69c1d712460102320_60102320_134730_11daa326cb	present	60000922_BIO_ZooBenthos		Sampling device : Square metallic corer 20 x 20 cm ; Taxon count after sieving 1 mm (square mesh)	Anoplodactylus virescens	urn:lsid:marinespecies.org:taxname:134730	2009	29dec9ee-10f7-4366-934c-5a9f5937b66f	9c2d6787-245d-4661-b052-c14bccfe1c1b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1241568000000.0	1241568000000.0	1241568000000.0	2009.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Anoplodactylus	Anoplodactylus virescens	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134730	134730	Anoplodactylus virescens	['NO_DEPTH']	-0.6	1217	16.02	31.49	0.0	00:00:00	POLYGON ((44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712))	088-P-146 - Afrique int HZN - ZooBenthos Biology_60000922_BIO_ZooBenthos	60000922_BIO_ZooBenthos														
