basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	footprintWKT	identifiedBy	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	institutionCode	locality	eventTime	maximumDepthInMeters	depth	minimumDepthInMeters
Occurrence	MRSNH01800004245	Marine Recorder Snapshot extract of surveys entered by NatureScot	https://marineinfo.org/id/dataset/8019	Marine Recorder Snapshot extract of surveys entered by NatureScot	22	56.68991	-5.171613	2011-08-22	MRSNH0180000006E.01	sample	EPSG:4326	LINESTRING (-5.171613 56.6899104, -5.171605 56.689803617)	Redacted	en	2022-01-18 09:29:51	8	MRSNH01800004245	present	MRSNH0180000006E	Contact: www.nature.scot/about-snh/contact-us	MRSNH01800000016_METH_004	Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2011	046cc6ae-8f88-4ce0-a9bb-efd7b66a1cca	0387adc4-c0b6-4072-b5f2-b819b4cfa30d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1313971200000	1313971200000	1313971200000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	['NO_DEPTH']	-24.6	161	10.29	34.76									
Occurrence	275917442	61587	https://marineinfo.org/id/dataset/690		22	56.69013418231424	-5.169015089156272	2011-08-22/2011-08-22							2014-04-30 15:14:44	8	urn:catalog:Scottish Natural Heritage:61587:275917442	present		Colin Moore		Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2011	088a3da8-7e90-40b9-ae79-431af92f4f83	ebe7ffad-b134-40d3-b3df-21b675c4bcb1	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1313971200000	1313971200000	1313971200000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	['NO_DEPTH']	-4.0	31	10.29	34.76	Europe	70.7	GB	Scottish Natural Heritage	Ballachulish Modiolus transect HM01				
Occurrence	MRCON04000003A88	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	25	49.52127	-4.524606	2012-02-25T06:45:00	MRCON04000000171.01	sample	EPSG:4326			en	2022-01-18 09:29:51	2	MRCON04000003A88	present	MRCON04000000171	Contact: MarineRecorder@jncc.gov.uk	MRCON0400000000A_METH_002	Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2012	13a21d6f-1b5a-433c-9a36-875af53edc9e	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1330128000000	1330128000000	1330128000000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	[]	86.4	67758	13.26	35.07						06:45:00	95.0	95.0	
Occurrence	MRCON0400000338F	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	21	49.28138	-5.254096	2012-02-21T12:34:00	MRCON0400000014B.01	sample	EPSG:4326			en	2022-01-18 09:29:51	2	MRCON0400000338F	present	MRCON0400000014B	Contact: MarineRecorder@jncc.gov.uk	MRCON0400000000A_METH_002	Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2012	202484b3-4eb7-4344-892d-d3beff811c36	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1329782400000	1329782400000	1329782400000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	[]	101.0	74798	13.29	35.16						12:34:00	102.0	102.0	
Occurrence	MRSNH0180000414B	Marine Recorder Snapshot extract of surveys entered by NatureScot	https://marineinfo.org/id/dataset/8019	Marine Recorder Snapshot extract of surveys entered by NatureScot	22	56.68991	-5.171613	2011-08-22	MRSNH0180000006E.01	sample	EPSG:4326	LINESTRING (-5.171613 56.6899104, -5.171605 56.689803617)	Redacted	en	2022-01-18 09:29:51	8	MRSNH0180000414B	present	MRSNH0180000006E	Contact: www.nature.scot/about-snh/contact-us	MRSNH01800000016_METH_004	Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2011	3e567d0c-60a7-4716-9620-9c50f003c468	0387adc4-c0b6-4072-b5f2-b819b4cfa30d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1313971200000	1313971200000	1313971200000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	['NO_DEPTH']	-24.6	161	10.29	34.76									
Occurrence	MRSNH01800004572	Marine Recorder Snapshot extract of surveys entered by NatureScot	https://marineinfo.org/id/dataset/8019	Marine Recorder Snapshot extract of surveys entered by NatureScot	25	56.55049	-5.424274	2011-08-25	MRSNH01800000070.01	sample	EPSG:4326	LINESTRING (-5.424274 56.5504895, -5.424478 56.550480331)	Redacted	en	2022-01-18 09:29:51	8	MRSNH01800004572	present	MRSNH01800000070	Contact: www.nature.scot/about-snh/contact-us	MRSNH01800000016_METH_004	Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2011	454ed391-fcae-4f5e-89c0-8ec5c157eb71	0387adc4-c0b6-4072-b5f2-b819b4cfa30d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1314230400000	1314230400000	1314230400000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	['NO_DEPTH']	22.4	344	10.3	34.74									
Occurrence	RSMP_707_WC_S_28_1084963		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	21	49.32499	-4.92994	2012-02-21	707_WC_S_28	sample	EPSG:4326			en	2018-04-09 15:18:52	2	RSMP_707_WC_S_28_1084963	present				Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2012	5845db87-0f6c-4ed5-b25f-54942cb80bbb	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1329782400000	1329782400000	1329782400000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	[]	95.4	72627	13.22	35.14				CEFAS			99.0	99.0	99.0
Occurrence	275917441	61587	https://marineinfo.org/id/dataset/690		22	56.69013418231424	-5.169015089156272	2011-08-22/2011-08-22							2014-04-30 15:14:44	8	urn:catalog:Scottish Natural Heritage:61587:275917441	present		Colin Moore		Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2011	60a95534-f6dc-44f9-97d5-6f7de597839b	ebe7ffad-b134-40d3-b3df-21b675c4bcb1	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1313971200000	1313971200000	1313971200000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	['NO_DEPTH']	-4.0	31	10.29	34.76	Europe	70.7	GB	Scottish Natural Heritage	Ballachulish Modiolus transect HM01				
Occurrence	MRSNH018000041CA	Marine Recorder Snapshot extract of surveys entered by NatureScot	https://marineinfo.org/id/dataset/8019	Marine Recorder Snapshot extract of surveys entered by NatureScot	22	56.68991	-5.171613	2011-08-22	MRSNH0180000006E.01	sample	EPSG:4326	LINESTRING (-5.171613 56.6899104, -5.171605 56.689803617)	Redacted	en	2022-01-18 09:29:51	8	MRSNH018000041CA	present	MRSNH0180000006E	Contact: www.nature.scot/about-snh/contact-us	MRSNH01800000016_METH_004	Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2011	68a75b61-378c-4d01-a3ca-7fb7a20d49f7	0387adc4-c0b6-4072-b5f2-b819b4cfa30d	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1313971200000	1313971200000	1313971200000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	['NO_DEPTH']	-24.6	161	10.29	34.76									
Occurrence	MRCON040000034EA	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	21	49.32499	-4.92994	2012-02-21T23:23:00	MRCON04000000153.01	sample	EPSG:4326			en	2022-01-18 09:29:51	2	MRCON040000034EA	present	MRCON04000000153	Contact: MarineRecorder@jncc.gov.uk	MRCON0400000000A_METH_002	Callipallene spectrum	urn:lsid:marinespecies.org:taxname:134647	2012	7ec3009c-0593-4a22-a2f3-1a2ba73d5faa	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1329782400000	1329782400000	1329782400000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene spectrum	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134647	134647	Callipallene spectrum	[]	95.4	72627	13.22	35.14						23:23:00	99.0	99.0	
