basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	scientificName	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	continent	datasetID	datasetName	eventID	eventTime	modified	occurrenceID	occurrenceStatus	samplingProtocol	scientificNameAuthorship	superdomain	superdomainid	associatedReferences	identifiedBy	individualCount	preparations	recordedBy	coordinateUncertaintyInMeters	references	samplingEffort	sex	footprintWKT
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	58010500570119W41201040105	BENTHIC HADDOCK SURVEY	United States	13	41.8829994202	-68.5500030518	observedweight=0;observedindividualcount=1;	1958-10-13T12:00:00Z	58010500570119	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum013	174.0	174.0	10	Gear Type: OTTER TRAWL	Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523	North Atlantic Ocean	1958	01af67fc-3be7-4993-96da-4a70e81ceec3	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	174.0	-354067200000	-354067200000	-354067200000	1958	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	168.0	115234	11.81	32.28																						
Occurrence		152480871001009	IMRMarbunnBenthos		23	64.072333	6.2385		2015-08-23T17:10:00+00:00/2015-08-23T17:21:00+00:00	catchId: 9	IMR	MAREANO Reference Station: 1524	356.98	356.75	8		Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523		2015	04b31130-6272-4771-91db-cc1b8a1f9b68	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	356.865	1440288000000	1440288000000	1440288000000	2015	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	360.8	99300	9.64	34.61	Norwegian Sea	https://marineinfo.org/id/dataset/4539	grab_2006-2022	Cruise: 58GS-2015113 Sample: 871	17:10:00+00:00/17:21:00+00:00	2024-05-23 10:35:05	152480871001009	present	Large VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Wilson, 1880	Biota	1.0										
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1033919.828423	Invertebrate Zoology		5	42.0	-69.0	temperature=4.4;observedindividualcount=1;	1959-08-05T19:00:00Z		USNM		135.0	135.0	8		Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523	North Atlantic Ocean	1959	04f83b35-f679-493c-a212-b1d76fae9a2f	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	135.0	-328492800000	-328492800000	-328492800000	1959	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	151.0	80213	11.95	32.15													National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service					
HumanObservation		UKOOA_LAG0718_3_150523	The Marine Biological Association of the United Kingdom		1	60.95229619	-2.879452738		2007-04-01		Marine Biological Association of the UK (MBA)		598.0	598.0	4	Eventremarks: sediment samples were subsampled for particle size distribution, organic carbon, polychlorinated biphenyl (PCB) hydrocarbons and heavy / trace metals	Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523		2007	053d670b-c310-423f-ab96-b4076ce9fe1b	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	598.0	1175385600000	1175385600000	1175385600000	2007	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	608.0	84657	10.21	35.33	North East Atlantic	https://marineinfo.org/id/dataset/5247		UKOOA_LAG0718_3		2014-10-23 00:00:00	DASSH_UKOOA_LAG0718_3_150523	present	Sampling instrument: Box corer or TOOL0960: Hamon grab; Seive mesh size: 0.500mm		Biota	1.0			1.0		Ralph Butcher; Sarah O'Flynn; Seran Davies; Mark Roberts	5.0	http://www.oilandgasuk.co.uk/knowledgecentre/uk_benthos_database.cfm	Unknown		
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	55010700190109W41201040105	BENTHIC HADDOCK SURVEY	United States	11	42.1669998169	-69.9670028687	observedweight=0.01;observedindividualcount=1;	1955-12-11T12:00:00Z	55010700190109	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum013	146.0	146.0	12	Gear Type: DIGBY DRAG	Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523	North Atlantic Ocean	1955	057121d1-c0de-43fc-a7e3-2d46bc8f84c9	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	146.0	-443664000000	-443664000000	-443664000000	1955	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	133.0	15727	11.65	31.75																						
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	233614.290241	Invertebrate Zoology: Crustacea	Canada	21	60.1669998169	-47.1329994202	observedindividualcount=3;	1960-08-21T12:00:00Z		USNM	Labrador Basin, Off Greenland	300.0	300.0	8		Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523	North Atlantic Ocean	1960	05bc6624-4502-4b4d-90e6-58e70769b6ad	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	300.0	-295488000000	-295488000000	-295488000000	1960	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	282.0	55349	1.98	33.92										Wilson			National Museum of Natural History, Smithsonian Institution	Child, C. Allan	3.0	Alcohol (Ethanol)					female	
Occurrence		092310036001012	IMRMarbunnBenthos		1	63.241	6.9055		2012-10-01T12:54:00+00:00/2012-10-01T13:01:00+00:00	catchId: 12	IMR	MAREANO Reference Station: 923	194.39	193.72	10		Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523		2012	0610c828-9cff-4cb0-8fb4-aeca71879d4e	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	194.055	1349049600000	1349049600000	1349049600000	2012	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	195.0	18647	9.43	33.87	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2012110 Sample: 36	12:54:00+00:00/13:01:00+00:00	2024-05-23 10:35:05	092310036001012	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Wilson, 1880	Biota	1.0										LINESTRING(6.9055 63.241,6.8995 63.240667)
Occurrence		029610340003022	IMRMarbunnBenthos		13	68.6215	12.6945		2008-10-13T13:18:00+00:00/2008-10-13T13:23:00+00:00	catchId: 22	IMR	MAREANO Reference Station: 296	187.82	185.37	10		Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523		2008	0b11031e-079f-4b10-9801-787dc85a89c7	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	186.595	1223856000000	1223856000000	1223856000000	2008	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	186.2	51596	8.29	34.56	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	Cruise: 58GS-2008114 Sample: 340	13:18:00+00:00/13:23:00+00:00	2024-05-23 10:35:05	029610340003022	present	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Wilson, 1880	Biota	1.0										LINESTRING(12.6945 68.6215,12.6905 68.621)
Occurrence		139080768001006	IMRMarbunnBenthos		22	71.416167	26.398		2014-08-22T03:51:00+00:00/2014-08-22T04:11:00+00:00	catchId: 6	IMR	MAREANO Reference Station: 1390	247.4	247.2	8		Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523		2014	0c8e7cde-6790-4215-89be-96172bbc2f4b	d556b9d4-7625-4aa2-894d-441eabae47f7	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	247.3	1408665600000	1408665600000	1408665600000	2014	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	245.8	33650	6.68	34.71	Barents Sea	https://marineinfo.org/id/dataset/4539	grab_2006-2022	Cruise: 58GS-2014115 Sample: 768	03:51:00+00:00/04:11:00+00:00	2024-05-23 10:35:05	139080768001006	present	Large VV grab,Subsample method: Sieve content - Mesh size (mm): 1.0	Wilson, 1880	Biota	1.0										
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	61020200440114W41201040105	BENTHIC HABITAT STUDY	United States	24	43.1669998169	-67.5	observedweight=0;observedindividualcount=1;	1961-06-24T12:00:00Z	61020200440114	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum005	211.0	211.0	6	Gear Type: 1-METER NAT. DREDGE	Nymphon macrum	urn:lsid:marinespecies.org:taxname:150523	North Atlantic Ocean	1961	1135266c-a525-4629-8664-fec9d13b8072	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	211.0	-268963200000	-268963200000	-268963200000	1961	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon macrum	2	1065	1274	1302	1358	379601	379609	1566	134591	150523	150523	Nymphon macrum	[]	186.0	102429	10.21	31.89																						
