basisOfRecord	catalogNumber	class	collectionCode	countryCode	decimalLatitude	decimalLongitude	family	fieldNumber	footprintWKT	genus	geodeticDatum	individualCount	institutionCode	kingdom	license	locality	modified	occurrenceID	order	phylum	recordedBy	references	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	verbatimLocality	waterBody	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	suborder	superfamily	subfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	country	datasetID	maximumDepthInMeters	minimumDepthInMeters	occurrenceStatus	depth	superdomain	superdomainid	day	eventDate	identifiedBy	month	year	date_start	date_mid	date_end	date_year	eventID	identificationRemarks	identificationVerificationStatus	occurrenceRemarks	verbatimIdentification
PreservedSpecimen	2008-20665	Pycnogonida	IU	NC	-23.436251	167.833664	Colossendeidae	NORFOLK 1/DW1651	POINT  (167.833664 -23.436251)	Colossendeis	WGS84	1	MNHN	Animalia	CC_BY_4_0	Ride de Norfolk	2015-06-19T21:23Z	462401963	Pantopoda	Arthropoda	Lozouet, Boisselier & Richer-IRD coll	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20665	Colossendeis pipetta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239837	pipetta	SPECIES	Banc Brachiopode	Pacific Ocean	03320f1b-8250-4703-8899-f65629850d93	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta Stock, J.H., 1991	['NO_DEPTH']	481	79637	24.46	35.3																							
Occurrence	21673	Pycnogonida	NewCaledonia		-22.8700008392334	167.190002441406	Colossendeidae			Colossendeis			IRD-MNHN	Animalia		Musorstom 4, DW230	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21673:0x9C1D900001000500	Pantopoda	Arthropoda			Colossendeis pipetta		urn:lsid:marinespecies.org:taxname:239837					0423da5f-d188-49c6-9718-751d788716b0	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta	[]	364	25174	24.33	35.27	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	420.0	420.0	present	420.0	Biota	1.0														
PreservedSpecimen	2008-20507	Pycnogonida	IU	NC	-22.305	168.7	Colossendeidae	EXBODI/CP3898	POINT  (168.7 -22.305)	Colossendeis	WGS84	1	MNHN	Animalia	CC_BY_4_0	Banc Sud Durand	2015-06-19T21:23Z	462426618	Pantopoda	Arthropoda		http://coldb.mnhn.fr/catalognumber/mnhn/iu/2008-20507	Colossendeis pipetta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239837	pipetta	SPECIES		Pacific Ocean	07e55010-fa43-4195-9a94-59922b3ca24c	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta Stock, J.H., 1991	['NO_DEPTH']	171	40280	25.16	35.16										20	2011-09-20T02:00Z	Bamber R.	9	2011	1316476800000.0	1316476800000.0	1316476800000.0	2011.0					
PreservedSpecimen	2007-4770	Pycnogonida	IU	NC	-23.465334	167.848328	Colossendeidae	NORFOLK 2/DW2024	POINT  (167.848328 -23.465334)	Colossendeis	WGS84	1	MNHN	Animalia	CC_BY_4_0	Banc Brachiopode	2015-06-19T21:23Z	440013757	Pantopoda	Arthropoda	Lozouet, Samadi & Richer-IRD coll.	http://coldb.mnhn.fr/catalognumber/mnhn/iu/2007-4770	Colossendeis pipetta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239837	pipetta	SPECIES		Pacific Ocean	082c251d-384b-419a-a67e-ebe3410f02de	0c9c73d0-7fa1-4c6d-b18b-9affde19eb60	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta Stock, J.H., 1991	['NO_DEPTH']	634	83187	24.46	35.3										21	2003-10-21T02:00Z	Bamber R.	10	2003	1066694400000.0	1066694400000.0	1066694400000.0	2003.0					
Occurrence		Pycnogonida	NewCaledonia		-23.2999992370605	168.080001831055	Colossendeidae			Colossendeis			IRD-MNHN	Animalia		Norfolk, Mt. Azteque (Smib 8, DW183)	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0xD388170001000200	Pantopoda	Arthropoda			Colossendeis pipetta		urn:lsid:marinespecies.org:taxname:239837					082e5af2-c6c9-43db-aa5f-94c9a76883b6	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta	[]	368	79290	24.58	35.27			https://marineinfo.org/id/dataset/3128	367.0	330.0	present	348.5	Biota	1.0														
PreservedSpecimen	17463	Pycnogonida	SeamountsOnline		-23.75	168.28	Colossendeidae	Station DW 178		Colossendeis			SCSD	Animalia		Jumeau East Seamount		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239837_17463	Pantopoda	Arthropoda		Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Colossendeis pipetta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239837					08a8ba16-370f-4100-a745-5bf365f3dc7f	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta	[]	1493	131573	24.37	35.32				400.0	400.0	present	400.0	Biota	1.0		1993-01-30	NA			728352000000.0	728352000000.0	728352000000.0	1993.0	SCSD_SeamountsOnline_Jumeau_East Seamount_534452	WoRMS Match Type: exact	Validated	NA | NA	Colossendeis pipetta
PreservedSpecimen	17460	Pycnogonida	SeamountsOnline		-23.65	168.0	Colossendeidae	Station DW 177		Colossendeis			SCSD	Animalia		Jumeau West Seamount		SeamountsOnline_urn:lsid:marinespecies.org:taxname:239837_17460	Pantopoda	Arthropoda		Richer de Forges, B. 2001 Electronic Database of ORSTOM Sampling on the Norfolk Ridge NA	Colossendeis pipetta	Stock, 1991	urn:lsid:marinespecies.org:taxname:239837					09e3a20f-fdb5-4e94-88c1-e4b06f56c5fb	4eaf3ab8-463a-4c8d-838a-9b9c6ca4bfd3	['b7c47783-a020-4173-b390-7b57c4fa1426']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta	[]	743	108030	24.41	35.31				370.0	320.0	present	345.0	Biota	1.0		1993-01-29	NA			728265600000.0	728265600000.0	728265600000.0	1993.0	SCSD_SeamountsOnline_Jumeau_West Seamount_534487	WoRMS Match Type: exact	Validated	NA | NA	Colossendeis pipetta
Occurrence		Pycnogonida	NewCaledonia		-23.2900009155273	168.089996337891	Colossendeidae			Colossendeis			IRD-MNHN	Animalia		Norfolk, Mt. Azteque (Smib 8, DW189)	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia::0x988B170001000500	Pantopoda	Arthropoda			Colossendeis pipetta		urn:lsid:marinespecies.org:taxname:239837					0b1c5329-0530-44d8-bb20-f22921d759b4	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta	[]	461	79136	24.61	35.26			https://marineinfo.org/id/dataset/3128	402.0	400.0	present	401.0	Biota	1.0														
Occurrence	21680	Pycnogonida	NewCaledonia		-19.0	163.449996948242	Colossendeidae			Colossendeis			IRD-MNHN	Animalia		Smib 6, DW115	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21680:0x8103900001000300	Pantopoda	Arthropoda			Colossendeis pipetta		urn:lsid:marinespecies.org:taxname:239837					0c08a2af-c5a1-447f-b39c-d36abdd30e07	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta	[]	294	50324	26.22	34.99	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	280.0	280.0	present	280.0	Biota	1.0														
Occurrence	21662	Pycnogonida	NewCaledonia		-22.9899997711182	167.25	Colossendeidae			Colossendeis			IRD-MNHN	Animalia		Biocal, DW38	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:21662:0x6515900001000500	Pantopoda	Arthropoda			Colossendeis pipetta		urn:lsid:marinespecies.org:taxname:239837					0c9feabc-8ddb-466e-8312-7161db421523	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis pipetta	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239837	239837	Colossendeis pipetta	[]	319	34300	24.37	35.28	Stock JH (1991). Musorstom 8(151): 125-212.	Nouvelle Caledonie	https://marineinfo.org/id/dataset/3128	360.0	360.0	present	360.0	Biota	1.0														
