basisOfRecord	catalogNumber	collectionCode	decimalLatitude	decimalLongitude	institutionCode	maximumDepthInMeters	minimumDepthInMeters	scientificName	scientificNameID	id	dataset_id	node_id	depth	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	countryCode	day	eventDate	eventID	fieldNumber	footprintWKT	geodeticDatum	identifiedBy	identifiedByID	institutionID	language	month	occurrenceID	occurrenceStatus	organismQuantity	organismQuantityType	preparations	samplingProtocol	scientificNameAuthorship	specificEpithet	taxonRank	type	verbatimEventDate	year	date_start	date_mid	date_end	date_year	superdomain	superdomainid	occurrenceRemarks	sex	locality	modified
HumanObservation	23248	SOMBASE Pycnogonids	-77.6999969482	-167.733306885	BAS	552.0	547.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	002171e2-1b14-49f0-934f-dd183023ff0a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	549.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	551	79869	-1.61	33.93																																			
PreservedSpecimen	JR15005_1166_03		-60.3561	-46.6858	BAS	573.0	458.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	026f5d9b-0ed4-45e0-a303-934c8ec113fa	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	515.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	635	22266	-0.87	33.81	263	AQ	10	2016-03-10	JR15005	JR15005_62	LINESTRING (-46.68411 -60.35385, -46.68745 -60.35828)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_1166_03	Present	5	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Bouvier, 1911	tenuipes	species	PhysicalObject	10/3/2016	2016	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	Biota	1.0				
PreservedSpecimen	JR15005_1220_08		-60.3566	-46.6859	BAS	545.0	442.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	0cb6ecdf-39f0-4537-af90-05b13c9352a3	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	493.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	635	22210	-0.87	33.81	269	AQ	10	2016-03-10	JR15005	JR15005_63	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_1220_08	Present	6	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Bouvier, 1911	tenuipes	species	PhysicalObject	10/3/2016	2016	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	Biota	1.0	Eggs present	Male		
HumanObservation	21517	SOMBASE Pycnogonids	-71.5783004761	-12.4433002472	BAS	560.0	560.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	0fc2a418-b7a4-4239-904a-be05e44b036e	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	560.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	590	6628	-1.76	33.77																																			
HumanObservation	23251	SOMBASE Pycnogonids	-56.7565994263	-26.9066009521	BAS	749.0	731.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	12f81f76-c93d-4611-baab-91c8c9c42946	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	740.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	755	14383	-0.65	33.64																																			
HumanObservation	39405	SOMBASE Pycnogonids	-73.6832962036	-22.4666004181	BAS	446.0	428.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	151bac55-b0d3-4a12-826e-95741c0be886	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	437.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	466	37230	-1.67	33.86																																			
HumanObservation	23246	SOMBASE Pycnogonids	-62.1833000183	-57.8250007629	BAS	747.0	747.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	1b461ee5-524b-47b8-b793-1c6c7de184e3	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	747.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	['DEPTH_EXCEEDS_BATH']	618	9798	-0.57	34.02																																			
PreservedSpecimen	P.44139	co113	-72.28499	170.23166	AM			Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	1bcbca93-1a3e-40ec-855e-a64c29a8c466	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']		False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	['NO_DEPTH']	230	3331	-1.72	33.53	10000			1972-01-18			POINT (170.23166 -72.28499)							urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44139	present						tenuipes	species				64540800000.0	64540800000.0	64540800000.0	1972.0				Male	Moubray Bay, Cape Hallett	2017-03-02T16:15:54
PreservedSpecimen	JR15005_1098_01a		-60.3567	-46.6863	BAS	540.0	465.0	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	21e3cfac-32c3-4bee-87f0-efd2221cf4b0	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	502.5	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	635	22199	-0.87	33.81	257	AQ	9	2016-03-09	JR15005	JR15005_61	LINESTRING (-46.68423 -60.35469, -46.68845 -60.3588)	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	https://ror.org/01rhff309	en	3	JR15005_1098_01a	Present	1	individuals	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Bouvier, 1911	tenuipes	species	PhysicalObject	9/3/2016	2016	1457481600000.0	1457481600000.0	1457481600000.0	2016.0	Biota	1.0	Eggs present	Male		
PreservedSpecimen	JR230_09_0538_4		-66.253	-70.42	BAS	511.29	511.29	Nymphon tenuipes	urn:lsid:marinespecies.org:taxname:173516	2731bfb1-19ec-4561-81d5-069de2e87481	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	511.29	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon tenuipes	2	1065	1274	1302	1358	379601	379609	1566	134591	173516	173516	Nymphon tenuipes	[]	495	109818	-0.75	33.45	1000	AQ	6	2009-12-06	JR230	JR230_BASWAP4-AGT-10c		EPSG:4326	Claudia Arango	https://orcid.org/0000-0003-1098-830X	https://ror.org/01rhff309	en	12	JR230_09_0538_4	Present	1	individuals	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr230.pdf	Bouvier, 1911	tenuipes	species	PhysicalObject	6/12/2009	2009	1260057600000.0	1260057600000.0	1260057600000.0	2009.0	Biota	1.0				
