basisOfRecord	catalogNumber	collectionCode	continent	coordinateUncertaintyInMeters	datasetID	day	decimalLatitude	decimalLongitude	eventDate	eventID	individualCount	institutionCode	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	preparations	samplingEffort	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	recordedBy	bibliographicCitation	locality	occurrenceRemarks	scientificNameAuthorship	specificEpithet	associatedReferences	country	identifiedBy	stateProvince	datasetName	eventRemarks	footprintSRS	language	parentEventID
HumanObservation	100914_FFMC01_59mSE_2_134741	The Marine Biological Association of the United Kingdom	North East Atlantic	10.0	https://marineinfo.org/id/dataset/5247	14	56.49073	-5.75267	2010-09-14	100914_FFMC01_59mSE_2	10.0	Marine Biological Association of the UK (MBA)	19.0	19.0	2014-07-22 00:00:00	9	DASSH_100914_FFMC01_59mSE_2_134741	present	NMBAQC	Unknown	Sampling instrument: 50: Sediment Grab; Seive mesh size: 1.000mm	Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	2010	007848eb-36f6-4761-8050-78f0dad0ba65	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	19.0	1284422400000.0	1284422400000.0	1284422400000.0	2010.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	[]	9.4	443	10.4	34.75															
HumanObservation	090723_FFMC20_50mW_3_134741	The Marine Biological Association of the United Kingdom	North East Atlantic	10.0	https://marineinfo.org/id/dataset/5247	23	56.52278	-5.35676	2009-07-23	090723_FFMC20_50mW_3	13.0	Marine Biological Association of the UK (MBA)	31.0	31.0	2014-07-22 00:00:00	7	DASSH_090723_FFMC20_50mW_3_134741	present	NMBAQC	0.045m2	Sampling instrument: 50: Sediment Grab; Seive mesh size: 1.000mm	Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	2009	015e4d02-ab11-4254-b41b-ceb6875e2b85	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	31.0	1248307200000.0	1248307200000.0	1248307200000.0	2009.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	[]	-1.0	422	10.29	34.74	Scottish Sea Farms														
Occurrence	413698	Tisbe		1676699.0	https://marineinfo.org/id/dataset/82		74.649088330558	17.233142578053				VLIZ			2005-10-03 12:19:12		urn:catalog:VLIZ:Tisbe:413698	present				Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741		021e9517-a9f0-4eb0-b23d-9f22e45d1271	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']						False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	['NO_DEPTH']	143.0	49027	4.5	34.74		Hayward, P.J.; Ryland, J.S. (Ed.) (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.	Norwegian Exclusive Economic Zone	AphiaID: 134741	(Rathke, 1799)	femoratum									
HumanObservation	10292	RAS				25	41.7385787964	-70.6262283325	2007-07-25T12:00:00Z			MITSG				7						Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	2007	02ca7f00-1be1-4a0d-9efc-807b506072a1	4da23d30-af8d-48f3-977a-4e24394e2e8c	['310922b4-9d0c-4de1-92d7-9b442d34765b']		1185321600000.0	1185321600000.0	1185321600000.0	2007.0	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum		2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	['NO_DEPTH']	2.0	4	12.14	31.37	Renee Bernier, Chris Boyko	MIT Sea Grant College Program (MITSG), Massachusetts Bays National Estuary Program (Mass. Bays), and Northeast Aquatic Nuisance Species Panel (NEANS) (forthcoming) Rapid Assessment Survey Dataset; generated by <Enter Your Name Here>; using Ocean Biogeogra					Rapid Assessment Survey	USA	Chris Boyko	MA					
HumanObservation	080827_FFMC71_CESW_3_134741	The Marine Biological Association of the United Kingdom	North East Atlantic	10.0	https://marineinfo.org/id/dataset/5247	27	56.64309	-6.0931	2008-08-27	080827_FFMC71_CESW_3	15.0	Marine Biological Association of the UK (MBA)	38.1	38.1	2014-07-22 00:00:00	8	DASSH_080827_FFMC71_CESW_3_134741	present	NMBAQC	0.045m2	Sampling instrument: 50: Sediment Grab; Seive mesh size: 1.000mm	Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	2008	04bbc819-e842-4c05-8356-1b51c7620a2b	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	38.1	1219795200000.0	1219795200000.0	1219795200000.0	2008.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	[]	31.6	213	10.56	34.85	Sampling by Scottish Sea Farms. Analyses by Hunter														
HumanObservation	100914_FFMC01_69mSE_2_134741	The Marine Biological Association of the United Kingdom	North East Atlantic	10.0	https://marineinfo.org/id/dataset/5247	14	56.49065	-5.75268	2010-09-14	100914_FFMC01_69mSE_2	1.0	Marine Biological Association of the UK (MBA)	16.1	16.1	2014-07-22 00:00:00	9	DASSH_100914_FFMC01_69mSE_2_134741	present	NMBAQC	Unknown	Sampling instrument: 50: Sediment Grab; Seive mesh size: 1.000mm	Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	2010	072260c0-c6cd-4c33-bb40-c151b9be6909	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	16.1	1284422400000.0	1284422400000.0	1284422400000.0	2010.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	[]	9.4	434	10.4	34.75															
Occurrence	MRUMU1000000CDC8	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)			https://marineinfo.org/id/dataset/8016	25	54.38716	-5.636279	1986-06-25	MRUMU1000000001C.07					2022-01-18 09:29:51	6	MRUMU1000000CDC8	present			MRUMU1000000001B_METH_001	Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	1986	09e874b0-0ede-4070-b89f-28d542397e59	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		520041600000.0	520041600000.0	520041600000.0	1986.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	['NO_DEPTH']	1.0	21	10.86	34.3	Contact: info@nmni.com								Ian Fuller		Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	sample	EPSG:4326	en	MRUMU1000000001C
Occurrence	287204858	66571	Europe	70.7	https://marineinfo.org/id/dataset/692	6	51.740166008817255	-5.2803679617912085	1975-06-06/1975-06-06			Natural Resources Wales			2014-04-16 15:57:02	6	urn:catalog:Natural Resources Wales:66571:287204858	present				Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	1975	0a512c57-db11-4a57-b3ca-8099eb9248f8	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		171244800000.0	171244800000.0	171244800000.0	1975.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	['NO_DEPTH']	-16.0	63	12.12	34.01			Skomer					GB							
Occurrence	RSMP_RSMP_H_0284_Baseline_422089				https://marineinfo.org/id/dataset/5922	16	53.38531	0.6269	2014-10-16	RSMP_H_0284_Baseline		CEFAS	27.0	27.0	2018-04-09 15:18:52	10	RSMP_RSMP_H_0284_Baseline_422089	present				Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	2014	0b54059f-1226-4347-a144-a129fff451f3	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	27.0	1413417600000.0	1413417600000.0	1413417600000.0	2014.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	[]	22.4	23870	10.8	34.07											RSMP Baseline Dataset	sample	EPSG:4326	en	
Occurrence	MRUMU1000000AC62	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)			https://marineinfo.org/id/dataset/8016	8	54.4237	-5.575616	1985-07-08	MRUMU10000000032.11					2022-01-18 09:29:51	7	MRUMU1000000AC62	present			MRUMU1000000001B_METH_001	Phoxichilidium femoratum	urn:lsid:marinespecies.org:taxname:134741	1985	0ba85624-3ed7-42f7-b02d-3bdb7da8a98e	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		489628800000.0	489628800000.0	489628800000.0	1985.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Phoxichilidiidae	Phoxichilidium	Phoxichilidium femoratum	1.0	2	1065	1274	1302	1358	379601	379610	14469	134594	134741	134741	Phoxichilidium femoratum	['NO_DEPTH']	1.0	61	10.9	34.31	Contact: info@nmni.com								Ian Fuller		Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	sample	EPSG:4326	en	MRUMU10000000032
