basisOfRecord	catalogNumber	class	collectionCode	collectionID	continent	country	county	dateIdentified	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	higherClassification	higherGeography	identifiedBy	institutionCode	institutionID	kingdom	language	license	locality	locationID	minimumDepthInMeters	month	nomenclaturalCode	occurrenceID	order	otherCatalogNumbers	phylum	preparations	recordedBy	scientificName	scientificNameAuthorship	specificEpithet	startDayOfYear	stateProvince	taxonRank	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	datasetID	datasetName	eventID	eventRemarks	footprintSRS	maximumDepthInMeters	modified	occurrenceStatus	scientificNameID	eventTime	georeferenceProtocol	habitat	associatedReferences	bibliographicCitation	dynamicProperties	individualCount	lifeStage	waterBody	sex	parentEventID	samplingProtocol	footprintWKT
PreservedSpecimen	137699	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	San Mateo County	1973-02-14	14	37.6325	-122.3433333333	1973-02-14	Ammotheidae	055002	Ammothea	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	Fred Nichols	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	off San Francisco airport	06503e08-2598-11ed-aace-005056be1b7a	4.0	2	ICZN	urn:catalog:CAS:IZ:137699	Pantopoda	none	Arthropoda	Fluid-75% EtOH(2)	F.Nichols	Ammothea hilgendorfi	(Böhm, 1879)	hilgendorfi	45	California	species	Physical Object	14 Feb 1973	37° 37.95' N	122° 20.6' W	1973	00609579-6392-40c2-9b59-f15a5fcb315a	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	4.0	98496000000	98496000000	98496000000	1973	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	[]	4.0	1991	12.62	31.88																						
Occurrence	RSMP_88751_1072598	Pycnogonida							4	50.81544	-1.03195	2011-05-04	Ammotheidae		Ammothea				CEFAS		Animalia	en				0.0	5		RSMP_88751_1072598	Pantopoda		Arthropoda			Ammothea hilgendorfi										2011	01307748-e985-4626-a4eb-5d969bcd9b4d	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	0.0	1304467200000	1304467200000	1304467200000	2011	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	[]	-0.4	654	12.66	34.08	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	88751	sample	EPSG:4326	0.0	2018-04-09 15:18:52	present	urn:lsid:marinespecies.org:taxname:134607													
PreservedSpecimen	160610	Pycnogonida	IZ	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	North America	United States	Alameda County	2002-03-13	1	37.76601	-122.28286	2001-10-01	Ammotheidae	062938	Ammothea	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Ascorhynchoidea, Ammotheidae	North America, North Pacific Ocean, United States, California, San Francisco Estuary, San Francisco Bay	M. Wicksten	CAS	http://grscicoll.org/institution/california-academy-sciences	Animalia	en	https://creativecommons.org/publicdomain/zero/1.0/	Alameda, Ballena Bay Isle, outer marina floating docks.	06739873-2598-11ed-aace-005056be1b7a	0.0	10	ICZN	urn:catalog:CAS:IZ:160610	Pantopoda		Arthropoda	Fluid-75% EtOH(1)	C. Brown, R. Ayres, G. Brooks	Ammothea hilgendorfi	(Böhm, 1879)	hilgendorfi	274	California	species	Physical Object	01 Oct 2001	37.76601° N	122.28286° W	2001	024dbdda-41b3-49cc-a5a8-3c26f27633f9	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	0.5	1001894400000	1001894400000	1001894400000	2001	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	[]	2.0	129	12.58	31.96				GPS waypoint 008, sponges photographed and assigned letter corresponding to frame number (A-25, B-26, C-27).		1.0				1010	GPS	concrete										
PreservedSpecimen	168650.125499	Pycnogonida	Invertebrate Zoology: Crustacea			Mexico			9	27.6329994202	-114.833000183	1934-03-09T12:00:00Z	Ammotheidae		Ammothea			Child, C. Allan	USNM		Animalia			Thurloe Bay, Off Thurloe Point		15.0	3			Pantopoda		Arthropoda	Alcohol (Ethanol)		Ammothea hilgendorfi	(Bohm)			Baja California						1934	02b72ed9-9507-49ea-8439-e44ca3a2bf7b	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	16.5	-1130284800000	-1130284800000	-1130284800000	1934	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi		2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	['ON_LAND']	2.0	-229								18.0			urn:lsid:marinespecies.org:taxname:134607				National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=2;	2.0	juvenile	North Pacific Ocean				
PreservedSpecimen	122427.87485	Pycnogonida	Invertebrate Zoology: Crustacea			United States				36.6170005798	-121.900001526	1895-07-31T12:00:00Z	Ammotheidae		Ammothea			Child, C. Allan	USNM		Animalia			Monterey Bay, Pacific Grove			7			Pantopoda		Arthropoda	Alcohol (Ethanol)	G. Snyder	Ammothea hilgendorfi	(Bohm)			California						1895	03b1fec0-ff4e-4052-99f2-f11688afe3f2	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']		-2348524800000	-2348524800000	-2348524800000	1895	False	False	True	False		Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi		2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	['NO_DEPTH']	-4.0	7	12.9	32.93									urn:lsid:marinespecies.org:taxname:134607				National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	observedindividualcount=1;	1.0		North Pacific Ocean	male			
Occurrence	RSMP_91930_1072617	Pycnogonida							6	50.81351	-0.903	2013-06-06	Ammotheidae		Ammothea				CEFAS		Animalia	en				0.0	6		RSMP_91930_1072617	Pantopoda		Arthropoda			Ammothea hilgendorfi										2013	03b43f6a-3b57-4656-8d2c-c791e30cd7f1	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	0.0	1370476800000	1370476800000	1370476800000	2013	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	[]	-1.4	401	12.66	34.06	https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	91930	sample	EPSG:4326	0.0	2018-04-09 15:18:52	present	urn:lsid:marinespecies.org:taxname:134607													
Occurrence	MRMLN0040003B5D3	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)						16	50.71477	-1.967142	2006-11-16	Ammotheidae		Ammothea			Becky Seeley			Animalia	en					11		MRMLN0040003B5D3	Pantopoda		Arthropoda		Contact: dassh.enquiries@mba.ac.uk	Ammothea hilgendorfi										2006	0cbe862b-26d9-4f2a-bd04-3200a8bbd687	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1163635200000	1163635200000	1163635200000	2006	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	['NO_DEPTH']	1.0	7	12.67	34.58	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	MRMLN00400001363.01	sample	EPSG:4326		2022-01-18 09:29:51	present	urn:lsid:marinespecies.org:taxname:134607											MRMLN00400001363	MRMLN0040000007E_METH_007	
Occurrence	MRNE021100004111	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by Natural England						7	50.81289	-1.026189	2013-06-07T10:51:00	Ammotheidae		Ammothea			Thomson Unicomarine			Animalia	en				4.98999977	6		MRNE021100004111	Pantopoda		Arthropoda		Contact: enquiries@naturalengland.org.uk	Ammothea hilgendorfi										2013	0e361ee0-88c2-48af-9911-3bedf8ce390e	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	4.98999977	1370563200000	1370563200000	1370563200000	2013	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	[]	1.4	937	12.66	34.08	https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	MRNE021100000010.005	sample	EPSG:4326	4.98999977	2022-01-18 09:29:51	present	urn:lsid:marinespecies.org:taxname:134607	10:51:00										MRNE021100000010	MRNE021100000003_METH_002	LINESTRING (-1.177009 50.7693178, -0.8318342 50.87106267)
Occurrence	MRLRC01200002C1D	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by SeaSearch						22	50.7118	-1.47706	2014-08-22T08:50:27	Ammotheidae		Ammothea			Lin Baldock			Animalia	en				4.0	8		MRLRC01200002C1D	Pantopoda		Arthropoda		Contact: info@seasearch.org.uk	Ammothea hilgendorfi										2014	12387b4c-96e6-4340-940f-9b2dc309f131	e69be30f-84e8-4c21-a7ce-9fb4fb14ce6a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	5.25	1408665600000	1408665600000	1408665600000	2014	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	[]	5.0	327	12.67	34.4	https://marineinfo.org/id/dataset/8018	Marine Recorder Snapshot extract of surveys entered by SeaSearch	MRLRC012000001E4.01	sample	EPSG:4326	6.5	2022-01-18 09:29:51	present	urn:lsid:marinespecies.org:taxname:134607	08:50:27										MRLRC012000001E4	MRLRC01200000023_METH_002	
Occurrence	MRNE021100003F86	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by Natural England						11	50.79052	-1.40851	2013-06-11T14:43:00	Ammotheidae		Ammothea			Thomson Unicomarine			Animalia	en				7.23000002	6		MRNE021100003F86	Pantopoda		Arthropoda		Contact: enquiries@naturalengland.org.uk	Ammothea hilgendorfi										2013	15ba1bf1-5a26-41d6-a68d-4b1fb494e94a	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	7.23000002	1370908800000	1370908800000	1370908800000	2013	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Ammothea hilgendorfi	1.0	2	1065	1274	1302	1358	379601	379608	1562	134569	134607	134607	Ammothea hilgendorfi	True	[]	-1.0	193	12.65	34.29	https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	MRNE021100000012.008	sample	EPSG:4326	7.23000002	2022-01-18 09:29:51	present	urn:lsid:marinespecies.org:taxname:134607	14:43:00										MRNE021100000012	MRNE021100000003_METH_002	LINESTRING (-1.177009 50.7693178, -0.8318342 50.87106267)
