basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	eventTime	footprintSRS	identifiedBy	language	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	institutionCode	maximumDepthInMeters	footprintWKT	continent	dynamicProperties	fieldNumber	individualCount	occurrenceRemarks	samplingEffort
Occurrence	MRCON04200002375	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	6	50.1953	-0.768136	2012-06-06T21:17:35	MRCON0420000016D.001	sample	21:17:35	EPSG:4326	JNCC/Cefas	en	49.0	2022-01-18 09:29:51	6	MRCON04200002375	present	MRCON0420000016D	Contact: MarineRecorder@jncc.gov.uk	MRCON04200000008_METH_003	Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2012	00025723-fdca-4625-99a4-a438bd0eaa9d	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	49.0	1338940800000	1338940800000	1338940800000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	48.4	53594	12.8	34.54									
Occurrence	RSMP_HUM_REC_091 A_552667		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	21	53.55662	0.54986	2009-05-21	HUM_REC_091 A	sample		EPSG:4326		en	18.6	2018-04-09 15:18:52	5	RSMP_HUM_REC_091 A_552667	present				Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2009	0002aeed-ed7d-4830-8bff-67940e2adf42	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	18.6	1242864000000	1242864000000	1242864000000	2009	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	16.2	26529	10.55	34.14	CEFAS	18.6							
Occurrence	RSMP_DB_NS_023_552642		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	22	54.05601	0.00361	2011-11-22	DB_NS_023	sample		EPSG:4326		en	34.6	2018-04-09 15:18:52	11	RSMP_DB_NS_023_552642	present				Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2011	004ba762-f407-4334-abe7-ca106386a938	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	34.6	1321920000000	1321920000000	1321920000000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	28.6	8248	10.29	34.08	CEFAS	34.6							
Occurrence	MRMLN00100024555	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	9	54.04622	-4.157897	2000-05-09	N001000006FD.01	sample		EPSG:4326	Port Erin surveyors	en		2022-01-18 09:29:51	5	MRMLN00100024555	present	MRMLN001000006FD	Contact: dassh.enquiries@mba.ac.uk	MRMLN00100000057_METH_001	Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2000	0053f511-7f51-4817-8bb2-ebc5d4e25d64	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	39.0	957830400000	957830400000	957830400000	2000	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	38.4	21946	11.3	33.66		39.0							
Occurrence	MRMIT6000000089B	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	11	53.48983	-4.919972	2005-08-11	MRMIT60000000034.04	sample		EPSG:4326	National Museums of Wales	en		2022-01-18 09:29:51	8	MRMIT6000000089B	present	MRMIT60000000034	Contact: MarineRecorder@jncc.gov.uk	MRMIT6000000000A_METH_003	Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2005	005f0648-4738-4ccb-9d08-a9620d3ca251	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1123718400000	1123718400000	1123718400000	2005	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	['NO_DEPTH']	91.4	21770	11.49	34.26			LINESTRING (-4.934997 53.4990008, -4.883997 53.518004252)						
Occurrence	RSMP_EOWF CRC2011_33_552646		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	21	51.99791	1.44093	2011-08-21	EOWF CRC2011_33	sample		EPSG:4326		en	7.8	2018-04-09 15:18:52	8	RSMP_EOWF CRC2011_33_552646	present				Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2011	0069528f-2dcf-452e-97f3-e2072536357f	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	7.8	1313884800000	1313884800000	1313884800000	2011	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	7.0	1060	12.08	34.22	CEFAS	7.8							
Occurrence	MRMLN001000246A0	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	9	54.04831	-4.161027	2000-05-09	N00100000704.01	sample		EPSG:4326	Port Erin surveyors	en		2022-01-18 09:29:51	5	MRMLN001000246A0	present	MRMLN00100000704	Contact: dassh.enquiries@mba.ac.uk	MRMLN00100000057_METH_001	Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2000	007f5d56-c63d-4c42-98c5-b36878b36685	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	39.0	957830400000	957830400000	957830400000	2000	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	37.2	21638	11.3	33.66		39.0							
Occurrence	51929	Biomôr4 Grab	https://marineinfo.org/id/dataset/3068		9	51.17215	-4.5483666666666664	2003-07-09							48.0	2012-06-25 13:12:28	7	urn:catalog:The National Museum of Wales:Biomôr4 Grab:51929	present				Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2003	009e05b3-72a8-49f2-b843-e761eb8d24e2	7d92856b-a7fe-4e99-89c9-cc1d56354134	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	48.0	1057708800000	1057708800000	1057708800000	2003	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	49.6	7138	12.45	33.14	The National Museum of Wales	48.0		The Outer Bristol Channel	SampleSize=Ind/0.1 m²;	7	5.0	Quantitative station: Sample = duplicate 92 kg 0.1 m² modified Van Veen grab samples; sample volume = at least 5 litres of sediment (equivalent to a sampling depth of 5 cm across the subrectangular grab bite)	Ind/0.1 m²
Occurrence	MRCON04000000992	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	3	53.33243	-5.074552	2012-02-03T05:41:00	MRCON0400000004D.01	sample	05:41:00	EPSG:4326		en		2022-01-18 09:29:51	2	MRCON04000000992	present	MRCON0400000004D	Contact: MarineRecorder@jncc.gov.uk	MRCON04000000008_METH_002	Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2012	00a65778-f9dc-4ce3-a142-603259a9e410	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	114.0	1328227200000	1328227200000	1328227200000	2012	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	[]	110.8	24988	11.54	34.29		114.0							
Occurrence	MRMIT60000000C01	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	12	53.65697	-4.536933	2005-08-12	MRMIT60000000033.06	sample		EPSG:4326	National Museums of Wales	en		2022-01-18 09:29:51	8	MRMIT60000000C01	present	MRMIT60000000033	Contact: MarineRecorder@jncc.gov.uk	MRMIT6000000000A_METH_003	Callipallene brevirostris	urn:lsid:marinespecies.org:taxname:134643	2005	00befdb2-3d1a-4b73-ae6b-862727b6782b	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1123804800000	1123804800000	1123804800000	2005	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Callipallenidae	Callipallene	Callipallene brevirostris	1	2	1065	1274	1302	1358	379601	379609	1564	134581	134643	134643	Callipallene brevirostris	['NO_DEPTH']	78.4	25451	11.35	33.97			LINESTRING (-4.549495 53.6484991, -4.498992 53.677999831)						
