basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	locality	modified	month	occurrenceID	occurrenceStatus	order	otherCatalogNumbers	phylum	recordNumber	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	eventID	eventRemarks	footprintSRS	footprintWKT	language	parentEventID	samplingProtocol	eventTime	maximumDepthInMeters	depth	minimumDepthInMeters
Occurrence	71368760	Pycnogonida	7951	Europe	5000.0	GB	https://marineinfo.org/id/dataset/640	1	54.014147	-4.290732	1999-09-01	Ammotheidae	T-MRMLN004000366B5	Achelia	Port Erin Marine Laboratory, (Uni. Liverpool), Isl	Marine Biological Association	Animalia	Samples 812-835	2008-11-26 00:00:00	9	urn:catalog:Marine Biological Association:7951:71368760	present	Pantopoda	T-MRMLN004000366B5	Arthropoda	120472	Port Erin Marine Laboratory, (Uni. Liverpool), Isl	Achelia laevis	Hodge, 1864	urn:lsid:marinespecies.org:taxname:134600	laevis	1999	0007fcfe-504d-440a-9265-63293da73b66	5c37fe6f-16d7-4da2-a591-fb4420fc217f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	936144000000	936144000000	936144000000	1999	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	['NO_DEPTH']	43.8	18210	11.28	33.74												
Occurrence	MRCCW3000000F2B9	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by NRW				https://marineinfo.org/id/dataset/8017	20	52.83962	-4.29274	2009-04-20	Ammotheidae		Achelia	Hebog Ltd		Animalia		2022-01-18 09:29:51	4	MRCCW3000000F2B9	present	Pantopoda		Arthropoda		Contact: enquiries@naturalresourceswales.gov.uk	Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		2009	010aed6d-d697-4b57-a1cd-a4a6e5bc408b	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1240185600000	1240185600000	1240185600000	2009	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	['NO_DEPTH']	18.6	6246	11.82	33.97	Marine Recorder Snapshot extract of surveys entered by NRW	MRCCW30000000343.55	sample	EPSG:4326	LINESTRING (-4.400001 52.8249998, -4.366674 52.866666813)	en	MRCCW30000000343	MRCCW3000000005A_METH_002				
Occurrence	486_019-P-011 - SSRF01 Maerl_59442	Pycnogonida					https://marineinfo.org/id/dataset/4412	12	48.92667	-1.80484	2010-05-12T00:00:00	Ammotheidae		Achelia		486	Animalia	60003530_BIO_ZooBenthos	2019-11-25 10:56:47	5	486_019-P-011 - SSRF01 Maerl_59442	present	Pantopoda		Arthropoda			Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		2010	0131f7e8-d42b-44bc-b3b4-b603959ffe12	5eadc9bf-ceb9-493f-ba9d-04e62870766e	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1273622400000	1273622400000	1273622400000	2010	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	['NO_DEPTH']	11.2	3727	13.31	34.42		60224111						Sampling device : Benne Smith Mc Intyre ; Comptage des taxons après tamisage 1 mm (maille ronde)	00:00:00			
Occurrence	MRMLN00100023E22	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)				https://marineinfo.org/id/dataset/8021	1	54.04737	-4.162527	1999-09-01	Ammotheidae		Achelia	Port Erin surveyors		Animalia		2022-01-18 09:29:51	9	MRMLN00100023E22	present	Pantopoda		Arthropoda		Contact: dassh.enquiries@mba.ac.uk	Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		1999	01aa241d-eb94-4bc7-99dc-e7e1d515ce35	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	936144000000	936144000000	936144000000	1999	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	[]	37.4	21639	11.3	33.66	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	N001000006D7.01	sample	EPSG:4326		en	MRMLN001000006D7	MRMLN00100000057_METH_001		39.0	39.0	
Occurrence	71363839	Pycnogonida	7951	Europe	5000.0	GB	https://marineinfo.org/id/dataset/640	29	54.014147	-4.290732	1999-04-29	Ammotheidae	T-MRMLN00400036E74	Achelia	Port Erin Marine Laboratory, (Uni. Liverpool), Isl	Marine Biological Association	Animalia	Samples 612-635	2008-11-26 00:00:00	4	urn:catalog:Marine Biological Association:7951:71363839	present	Pantopoda	T-MRMLN00400036E74	Arthropoda	120472	Port Erin Marine Laboratory, (Uni. Liverpool), Isl	Achelia laevis	Hodge, 1864	urn:lsid:marinespecies.org:taxname:134600	laevis	1999	036a869d-1261-4e16-8ae7-689c1d29fe16	5c37fe6f-16d7-4da2-a591-fb4420fc217f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	925344000000	925344000000	925344000000	1999	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	['NO_DEPTH']	43.8	18210	11.28	33.74												
Occurrence	MRMLN00100009353	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)				https://marineinfo.org/id/dataset/8021	1	54.05327	-4.467188	1998-09-01	Ammotheidae		Achelia	Port Erin surveyors		Animalia		2022-01-18 09:29:51	9	MRMLN00100009353	present	Pantopoda		Arthropoda		Contact: dassh.enquiries@mba.ac.uk	Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		1998	0391fec4-396f-4351-a140-a4e1ba1eb6d8	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	904608000000	904608000000	904608000000	1998	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	[]	34.4	7522	11.27	33.86	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	N0010000041E.01	sample	EPSG:4326		en	MRMLN0010000041E	MRMLN00100000047_METH_001			8.0	8.0
Occurrence	RSMP_CEFAS_MHN_10420_996858	Pycnogonida					https://marineinfo.org/id/dataset/5922	1	50.20385	-0.5993	2006-01-01	Ammotheidae		Achelia		CEFAS	Animalia		2018-04-09 15:18:52	1	RSMP_CEFAS_MHN_10420_996858	present	Pantopoda		Arthropoda			Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		2006	055e4ee2-4f02-4ee5-a1ff-bbe011619872	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1136073600000	1136073600000	1136073600000	2006	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	[]	49.4	59115	12.81	34.52	RSMP Baseline Dataset	CEFAS_MHN_10420	sample	EPSG:4326		en				53.0	53.0	53.0
Occurrence	MRMLN00400025455	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)				https://marineinfo.org/id/dataset/8021	29	53.83159	-4.584644	1994-11-29	Ammotheidae		Achelia			Animalia		2022-01-18 09:29:51	11	MRMLN00400025455	present	Pantopoda		Arthropoda		Contact: dassh.enquiries@mba.ac.uk	Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		1994	07412dab-1b33-4600-9d36-95d5f3d58ab6	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	786067200000	786067200000	786067200000	1994	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	['NO_DEPTH']	67.0	24864	11.33	34.0	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	MRMLN00400001096.01	sample	EPSG:4326		en	MRMLN00400001096	MRMLN004000000A8_METH_002				
Occurrence	MRMLN00100023C11	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)				https://marineinfo.org/id/dataset/8021	1	54.05147	-4.167826	1999-09-01	Ammotheidae		Achelia	Port Erin surveyors		Animalia		2022-01-18 09:29:51	9	MRMLN00100023C11	present	Pantopoda		Arthropoda		Contact: dassh.enquiries@mba.ac.uk	Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		1999	0a3bb480-6fbd-4e07-86b4-cb91c039754c	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	936144000000	936144000000	936144000000	1999	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	[]	37.8	21074	11.28	33.72	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	N001000006CC.01	sample	EPSG:4326		en	MRMLN001000006CC	MRMLN00100000057_METH_001		39.0	39.0	
Occurrence	MRMIT6000001294C	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by JNCC				https://marineinfo.org/id/dataset/8015	9	51.23717	-4.401675	2003-07-09	Ammotheidae		Achelia	National Museums of Wales		Animalia		2022-01-18 09:29:51	7	MRMIT6000001294C	present	Pantopoda		Arthropoda		Contact: MarineRecorder@jncc.gov.uk	Achelia laevis		urn:lsid:marinespecies.org:taxname:134600		2003	0a7f2ba4-3570-4647-8e6c-9c15d0fee69a	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1057708800000	1057708800000	1057708800000	2003	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia laevis	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134600	134600	Achelia laevis	['NO_DEPTH']	42.0	13122	12.42	32.67	Marine Recorder Snapshot extract of surveys entered by JNCC	MRMIT600000001D4.09	sample	EPSG:4326	LINESTRING (-4.532499 51.382499, -4.193001 51.592995557)	en	MRMIT600000001D4	MRMIT60000000014_METH_001				
