basisOfRecord	catalogNumber	class	collectionCode	coordinatePrecision	coordinateUncertaintyInMeters	country	decimalLatitude	decimalLongitude	family	footprintWKT	genus	institutionCode	kingdom	locality	modified	occurrenceID	occurrenceStatus	phylum	scientificName	scientificNameID	sex	specificEpithet	taxonRank	vernacularName	id	dataset_id	node_id	dropped	absence	marine	brackish	subphylum	order	suborder	superfamily	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	bibliographicCitation	datasetID	maximumDepthInMeters	minimumDepthInMeters	depth	superdomain	superdomainid	eventDate	date_start	date_mid	date_end	date_year
PreservedSpecimen	P.3251	Pycnogonida	co113	0.0896	10000	Australia	-33.85	151.266	Nymphonidae	POINT (151.26600 -33.85000)	Nymphon	AM	Animalia	Port Jackson	2017-03-02T17:16:56	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.3251	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678	Male	aequidigitatum	species	Pycnogonid	0e6097fa-8cae-438f-9cdd-6d34e364c081	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH', 'ON_LAND']	-2.0	-1884	20.41	35.54												
PreservedSpecimen	P.13586	Pycnogonida	co113	0.0896	10000	Australia	-32.716	152.133	Nymphonidae	POINT (152.13300 -32.71600)	Nymphon	AM	Animalia	Port Stephens, Nelsons Bay	2017-03-02T11:16:03	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.13586	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678	Male	aequidigitatum	species	Pycnogonid	113ef2db-e9f3-43ae-8867-046d5168adc2	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH']	1.0	404	20.69	35.53												
PreservedSpecimen	P.2112	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Nymphonidae	POINT (151.25666 -33.86000)	Nymphon	AM	Animalia	Port Jackson, Shark Island	2017-03-02T11:08:29	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.2112	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678		aequidigitatum	species	Pycnogonid	28838949-91f6-478f-ba92-162271e51eff	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH', 'ON_LAND']	-4.0	-2432	20.41	35.54												
Occurrence	38235	Pycnogonida	NewCaledonia			Philippines	12.5200004577637	120.650001525879	Nymphonidae		Nymphon	IRD-MNHN	Animalia	Musorstom 3, DR117	2013-06-11 14:46:43	urn:catalog:IRD-MNHN:NewCaledonia:38235:0xE424900001000800	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678					2ca24f26-034e-4ff8-a967-43f9835a8dbf	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	[]	174.0	26723	28.91	32.26	Stock JH (1991). Musorstom 8(151): 213-228.	https://marineinfo.org/id/dataset/3128	97.0	92.0	94.5	Biota	1.0					
PreservedSpecimen	G.5197.001	Pycnogonida	co113	0.0896	10000	Australia	-32.616	152.316	Nymphonidae	POINT (152.31600 -32.61600)	Nymphon	AM	Animalia	Broughton Island	2017-03-02T13:14:48	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.5197.001	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678		aequidigitatum	species	Pycnogonid	2e80a06a-eb55-4eae-8341-6a5629a72033	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH', 'ON_LAND']	-5.0	-186	20.93	35.53												
PreservedSpecimen	P.43526	Pycnogonida	co113	0.0009	100		-10.04533	144.69883	Nymphonidae	POINT (144.69883 -10.04533)	Nymphon	AM	Animalia	Boot Reef, reef flat	2017-03-02T16:14:19	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.43526	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678		aequidigitatum	species	Pycnogonid	3963526c-b57e-4da2-b037-d92ee0e9b8ea	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH']	9.64	71048	27.28	34.71								1993-01-27	728092800000.0	728092800000.0	728092800000.0	1993.0
PreservedSpecimen	P.44702	Pycnogonida	co113	0.0896	10000		-33.23683	156.17799	Nymphonidae	POINT (156.17799 -33.23683)	Nymphon	AM	Animalia	Taupo Seamount	2017-03-02T15:49:47	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.44702	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678	Female	aequidigitatum	species	Pycnogonid	5c479679-e202-438e-9a6b-358cf1ccd26d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH']	133.0	326923	21.62	35.6								1989-05-02	610070400000.0	610070400000.0	610070400000.0	1989.0
PreservedSpecimen	P.14488	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Nymphonidae	POINT (151.25666 -33.86000)	Nymphon	AM	Animalia	Port Jackson, Shark Island	2017-03-02T11:18:12	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.14488	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678	Male	aequidigitatum	species	Pycnogonid	6a404d2c-8cc5-4eda-bde9-47c7d3c0da9e	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH', 'ON_LAND']	-4.0	-2432	20.41	35.54												
PreservedSpecimen	G.5196.001	Pycnogonida	co113	0.0896	10000	Australia	-33.85	151.266	Nymphonidae	POINT (151.26600 -33.85000)	Nymphon	AM	Animalia	Port Jackson	2017-03-02T13:14:48	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:G.5196.001	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678		aequidigitatum	species	Pycnogonid	6d552da0-0bcf-4fba-acf6-b5387e85011b	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH', 'ON_LAND']	-2.0	-1884	20.41	35.54												
PreservedSpecimen	P.2112.001	Pycnogonida	co113	0.009	1000	Australia	-33.86	151.25666	Nymphonidae	POINT (151.25666 -33.86000)	Nymphon	AM	Animalia	Port Jackson, Shark Island	2017-03-02T11:08:29	urn:lsid:ozcam.taxonomy.org.au:AM:Invertebrates - Marine & Other:P.2112.001	present	Arthropoda	Nymphon aequidigitatum	urn:lsid:marinespecies.org:taxname:239678		aequidigitatum	species	Pycnogonid	70be6ad1-f901-4926-833d-9b3b18de9d2d	517ac935-af0f-4358-88fb-7093015182af	['2a57cd59-6799-4579-955e-27c9af97aea4']	False	False	True	False	Chelicerata	Pantopoda	Eupantopodida	Nymphonoidea	Nymphon aequidigitatum	2	1065	1274	1302	1358	379601	379609	1566	134591	239678	239678	Nymphon aequidigitatum	['NO_DEPTH', 'ON_LAND']	-4.0	-2432	20.41	35.54												
