associatedReferences	basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	identifiedBy	individualCount	institutionCode	lifeStage	locality	month	preparations	recordedBy	scientificName	scientificNameAuthorship	scientificNameID	sex	waterBody	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	coordinatePrecision	maximumDepthInMeters	minimumDepthInMeters	occurrenceRemarks	verbatimDepth	depth	superdomain	superdomainid	sst	sss	continent	dateIdentified	eventID	eventRemarks	fieldNumber	geodeticDatum	habitat	institutionID	occurrenceID	occurrenceStatus	organismQuantity	samplingProtocol	specificEpithet	taxonRank	stateProvince	collectionID	county	eventTime	higherClassification	higherGeography	language	license	locationID	nomenclaturalCode	otherCatalogNumbers	startDayOfYear	type	verbatimEventDate	verbatimLatitude	verbatimLongitude	datasetID	modified	countryCode
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	231726.183761	Invertebrate Zoology: Crustacea	Nigeria	20	4.71250009537	7.03749990463	observedindividualcount=10;	1986-06-20T12:00:00Z	Child, C. Allan	10.0	USNM	;; juvenile	Bonny River, Eaglesome Point, Primrose Creek, 7 Km SE Of Port Harcourt Harbor	6	Alcohol (Ethanol)	C. Powell	Endeis flaccida	Calman	urn:lsid:marinespecies.org:taxname:239883	male; female;;	North Atlantic Ocean	1986	189bed6f-2928-4e05-8762-36e7765f2dd1	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	519609600000.0	519609600000.0	519609600000.0	1986.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	['NO_DEPTH', 'ON_LAND']	-1	-1134																																											
Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	HumanObservation	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	Spp-43-038_C3	B89PII			23.0265483856	-82.8923110962			Child, C. A.		HRI		ESE  Gulf of Mexico				Endeis flaccida	Calman,	urn:lsid:marinespecies.org:taxname:239883		Gulf of Mexico		1d0a1915-b1ee-49a3-88d7-5e6301c7d6b2	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	['MIN_DEPTH_EXCEEDS_MAX']	109	644	248810.0	64.0	69.0	Database description and disclaimer at: http://gulfbase.org/	69-64	66.5	Biota	1.0	27.69	35.98																																	
	PreservedSpecimen				Mexico		21.34691667	-90.14761111		2019-02-18	Magdalena García		FCMM		B10 Reef, Gulf of Mexico		Ethanol 70%	Lilian Palomino-Alvarez	Endeis flaccida		urn:lsid:marinespecies.org:taxname:239883				3a1d8ad2-d690-4837-915a-e821150d3353	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	1550448000000.0	1550448000000.0	1550448000000.0	2019.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	[]	2	21908		7.0				7.0			26.15	36.32	America	2020-10-26	ARMS-PILOTO-B10-02-2019	ARMS-1	B10_PLTO_ARM1_FEB19	WGS84	Coral reef	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	B10-02-2019-0348	Present	Individuals	ARMS	flaccida	Species																			
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	92880.280358	Invertebrate Zoology: Crustacea	Philippines	6	6.90000009537	122.074996948	observedindividualcount=1;	1909-10-06T12:00:00Z	Hedgpeth, J. W.	1.0	USNM		Mindanao Island, Zamboanga, Off Zamboanga Light	10	Alcohol (Ethanol)		Endeis flaccida	Calman	urn:lsid:marinespecies.org:taxname:239883	male	North Pacific Ocean	1909	3ac96d5d-793e-4950-96fc-bf6fc902d60a	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	-1900972800000.0	-1900972800000.0	-1900972800000.0	1909.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	[]	-3	132		16.0	16.0			16.0			28.74	31.53															Zamboanga del Sur																		
	PreservedSpecimen		216084	IZ	Philippines	28	13.5118	120.9088		2015-04-28	K. Markello		CAS		"""Beyond Bluffs"""	4	Fluid-95% EtOH(1)|Image(s)(1)	K.M. Markello	Endeis flaccida	Calman, 1923				2015	42e38e1e-dbcb-45fc-8d26-27cba9946a7e	aa16d305-d413-4c4a-90be-b1ec3298d58d	['b7c47783-a020-4173-b390-7b57c4fa1426']	1430179200000.0	1430179200000.0	1430179200000.0	2015.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	[]	-8	58		13.41	4.57			8.99	Biota	1.0	28.25	32.28	Asia	2015-04-28			083738			http://grscicoll.org/institution/california-academy-sciences	urn:catalog:CAS:IZ:216084				flaccida	species	Oriental Mindoro Province	https://www.gbif.org/grscicoll/collection/5d4a63d3-e994-4b19-b592-e853a8e3b470	Puerto Galera Municipality [= Puerto Galera]	1245-1415	Animalia, Arthropoda, Chelicerata, Pycnogonida, Pantopoda, Eupantopodida, Phoxichilidoidea, Endeidae, Endeinae	Asia, North Pacific Ocean, Philippines, Mindoro, Oriental Mindoro Province	en	https://creativecommons.org/publicdomain/zero/1.0/	06d27368-2598-11ed-aace-005056be1b7a	ICZN	448	118	Physical Object	28 Apr 2015	13.5118° N	120.9088° E			
	Occurrence	Stock JH (1991). Musorstom 8(151): 213-228.	38245	NewCaledonia	Philippines		12.5200004577637	120.650001525879					IRD-MNHN		Musorstom 3, DR117				Endeis flaccida		urn:lsid:marinespecies.org:taxname:239883				7245944a-45d4-464a-a1d6-7f31ce1356ff	e971710e-054e-43f2-b23c-c149d6c76cb4	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	[]	174	26723		97.0	92.0			94.5	Biota	1.0	28.91	32.26									urn:catalog:IRD-MNHN:NewCaledonia:38245:0x7680170001000200	present																					https://marineinfo.org/id/dataset/3128	2013-06-11 14:46:43	
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	181823.137756	Invertebrate Zoology: Crustacea	Nigeria	31	4.617000103	7.12083005905	observedindividualcount=8;	1980-05-31T12:00:00Z	Child, C. Allan	8.0	USNM	;; juvenile	Bonny River, Right Bank Of Hughes Channel	5	Alcohol (Ethanol)	C. Powell	Endeis flaccida	Calman	urn:lsid:marinespecies.org:taxname:239883	male; female;;	North Atlantic Ocean	1980	7ab95f64-8ca2-4620-8e65-af2feb6bd148	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	328579200000.0	328579200000.0	328579200000.0	1980.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	['NO_DEPTH']	-5	34																																											
	PreservedSpecimen				Mexico		21.34691667	-90.14761111		2019-02-18	Magdalena García		FCMM		B10 Reef, Gulf of Mexico		Ethanol 70%	Lilian Palomino-Alvarez	Endeis flaccida		urn:lsid:marinespecies.org:taxname:239883				a116eb4b-57b7-4523-b46f-4ce5b1952d05	8b681c9d-f925-4a11-930d-d37c07b0560e	['8385435b-bcf5-4bec-b827-8b480163d479']	1550448000000.0	1550448000000.0	1550448000000.0	2019.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	[]	2	21908		7.0				7.0			26.15	36.32	America	2020-10-25	ARMS-PILOTO-B10-02-2019	ARMS-1	B10_PLTO_ARM1_FEB19	WGS84	Coral reef	http://grbio.org/institution/universidad-nacional-autonoma-de-mexico-facultad-de-ciencias	B10-02-2019-0347	Present	Individuals	ARMS	flaccida	Species																			
	PreservedSpecimen		143892	FSBC I			27.353333	-80.235		1976-12-12									Endeis flaccida		urn:lsid:marinespecies.org:taxname:239883				d63f9ee1-af31-4083-a6e8-1e68f0fdfbde	e84e4864-bb77-486d-9940-d784014dd2fc	['b7c47783-a020-4173-b390-7b57c4fa1426']	219196800000.0	219196800000.0	219196800000.0	1976.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	[]	-1	418		8.1999998093	8.1999998093			8.1999998093			25.87	36.11			be483e0f-f357-4dea-92de-dab12eada76a						0a909509-bc48-4154-897e-8585a98326db	Present						56bf7b66-ed07-4b91-9f0d-1f00de11fab8																	US
National Museum of Natural History, Smithsonian Institution	PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	231731.183766	Invertebrate Zoology: Crustacea	Nigeria	23	4.58300018311	7.17778015137	observedindividualcount=100;	1986-06-23T12:00:00Z	Child, C. Allan	100.0	USNM		Bonny River, Greenkiri Fishing Camp, On Right Bank 15 Km N Of Bonny Town	6	Alcohol (Ethanol)	C. Powell	Endeis flaccida	Calman	urn:lsid:marinespecies.org:taxname:239883		North Atlantic Ocean	1986	dbd7f1ed-121c-47ab-a750-0ab19738ada3	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	519868800000.0	519868800000.0	519868800000.0	1986.0	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis flaccida	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	239883	239883	Endeis flaccida	['NO_DEPTH']	6	242																																											
