basisOfRecord	bibliographicCitation	catalogNumber	collectionCode	country	day	decimalLatitude	decimalLongitude	dynamicProperties	eventDate	fieldNumber	institutionCode	locality	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceRemarks	scientificName	scientificNameID	waterBody	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	identifiedBy	individualCount	preparations	recordedBy	scientificNameAuthorship	county	dateIdentified	modified	occurrenceID	specificEpithet	stateProvince
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	61020200180114W41201040102	BENTHIC HABITAT STUDY	United States	22	43.0	-66.75	observedweight=0;observedindividualcount=4;	1961-06-22T12:00:00Z	61020200180114	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum005	212.0	212.0	6	Gear Type: 1-METER NAT. DREDGE	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1961	005795a3-0ac3-42be-b142-f64c9b518861	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	212.0	-269136000000	-269136000000	-269136000000	1961	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	178	72827	9.52	31.51												
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	NL7505001701N600101010100	NEW LONDON SHIP OF OPPORTUNITY	United States	24	41.266998291	-72.0830001831	observedweight=0;samplesize=0.1 m^2;observedindividualcount=3;	1975-06-24T12:00:00Z	NL7505001701	NOAA, NMFS, Northeast Fisheries Science Center		28.0	28.0	6	Gear Type: SMITH MCINTYRE GRAB	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1975	005be3a2-722e-47b9-8570-affab004547e	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	28.0	172800000000	172800000000	172800000000	1975	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	16	4136	12.58	29.86												
PreservedSpecimen	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	1064410.858914	Invertebrate Zoology		15	42.3670005798	-65.9169998169	observedindividualcount=1;	1968-08-15T10:00:00Z		USNM		192.0	192.0	8		Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1968	00951abf-930c-4a3b-a2d2-d352cc775400	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	192.0	-43545600000	-43545600000	-43545600000	1968	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	217	113732	9.97	31.66	National Museum of Natural History, Smithsonian Institution	United States National Marine Fisheries Service	1.0	Alcohol (Ethanol)	United States National Marine Fisheries Service	Fabricius						
HumanObservation		55	NaGISA	USA		70.322	-147.579		2003-08-05	BP03-DS11-5_25x	University of Alaska Fairbanks	DS11					Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	Arctic		00dc4578-6c7b-4b1a-9392-461718ebe2b7	0c59dc30-4b06-4572-addc-155042f81fd0	['8385435b-bcf5-4bec-b827-8b480163d479']		1060041600000	1060041600000	1060041600000	2003	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	['NO_DEPTH']	6	6638	-0.46	29.62		Susan Schonberg			Brenda Konar		Boulder Patch	2006	2009-02-06	NaGISA-8265	grossipes	Alaska
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	NL7401003302N600101010100	NEW LONDON SHIP OF OPPORTUNITY	United States	9	41.25	-72.0670013428	observedweight=0;samplesize=0.1 m^2;observedindividualcount=14;	1974-07-09T12:00:00Z	NL7401003302	NOAA, NMFS, Northeast Fisheries Science Center		23.0	23.0	7	Gear Type: SMITH MCINTYRE GRAB	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1974	02bcaede-ffed-4b5f-9b99-46aaf3fb32cc	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	23.0	142560000000	142560000000	142560000000	1974	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	64	2370	12.64	30.26												
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	63030611760103W41201040102	CONTINENTAL MARGIN PROGRAM	United States	11	44.5	-66.733001709	observedweight=0.09;samplesize=0.56 m^2;observedindividualcount=1;	1963-08-11T12:00:00Z	63030611760103	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum003	89.0	89.0	8	Gear Type: CAMPBELL GRAB	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1963	03c3002e-0485-4733-9dce-d73354a5fc1f	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	89.0	-201744000000	-201744000000	-201744000000	1963	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	78	3957	8.74	31.0												
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	56010200030209W41201040102	BENTHIC HABITAT STUDY	United States	13	41.9000015259	-65.9499969482	observedweight=0.04;observedindividualcount=4;	1956-08-13T12:00:00Z	56010200030209	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum014	108.0	108.0	8	Gear Type: DIGBY DRAG	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1956	03dfc57c-9574-45b4-b6dc-23b6cc8ad987	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	108.0	-422409600000	-422409600000	-422409600000	1956	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	102	165487	10.96	32.07												
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	NL7401003405N600101010100	NEW LONDON SHIP OF OPPORTUNITY	United States	10	41.283000946	-72.0670013428	observedweight=0;samplesize=0.1 m^2;observedindividualcount=3;	1974-07-10T12:00:00Z	NL7401003405	NOAA, NMFS, Northeast Fisheries Science Center		14.0	14.0	7	Gear Type: SMITH MCINTYRE GRAB	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1974	048ce78f-b07a-4ffa-9eb7-202490635a89	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	14.0	142646400000	142646400000	142646400000	1974	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	15	3262	12.58	29.86												
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	56010200030610W41201040102	BENTHIC HABITAT STUDY	United States	13	41.9000015259	-65.9499969482	observedweight=0;observedindividualcount=1;	1956-08-13T12:00:00Z	56010200030610	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum014	108.0	108.0	8	Gear Type: 1-METER SLED NET	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1956	05a2b05b-3133-4926-a8ee-fd0acc2c92a1	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	108.0	-422409600000	-422409600000	-422409600000	1956	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	102	165487	10.96	32.07												
HumanObservation	Northeast Fisheries Science Center, National Marine Fisheries Service, NOAA, U.S. Department of Commerce. 2010. Northeast Fisheries Science Center Benthic Database. Northeast Fisheries Science Center, 166 Water Street, Woods Hole Laboratories, Woods Hole, MA 02543.	64040300600119W41201040102	NMFS NEFSC BOTTOM TRAWL SURVEY	United States	22	42.7999992371	-66.516998291	observedweight=0;observedindividualcount=4;	1964-11-22T12:00:00Z	64040300600119	NOAA, NMFS, Northeast Fisheries Science Center	H_Stratum009	113.0	113.0	11	Gear Type: OTTER TRAWL	Nymphon grossipes	urn:lsid:marinespecies.org:taxname:134688	North Atlantic Ocean	1964	06061116-7591-4200-944e-5b7af3b37d17	e7c86904-aac7-4a17-a895-99a54c430d80	['310922b4-9d0c-4de1-92d7-9b442d34765b']	113.0	-161222400000	-161222400000	-161222400000	1964	False	False	True	False	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon grossipes	2	1065	1274	1302	1358	379601	379609	1566	134591	134688	134688	Nymphon grossipes	[]	114	77333	9.58	31.49												
