basisOfRecord	catalogNumber	class	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	family	fieldNumber	genus	institutionCode	kingdom	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceRemarks	occurrenceStatus	order	phylum	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	datasetName	eventID	eventRemarks	eventTime	footprintSRS	footprintWKT	identifiedBy	language	parentEventID	recordedBy	samplingProtocol	bibliographicCitation	dateIdentified	dynamicProperties	individualCount	references	samplingEffort	coordinateUncertaintyInMeters	locality
Occurrence	1960	Pycnogonida	BenticNSECCS	https://marineinfo.org/id/dataset/505	3	52.1651666666667	-5.50083333333333	1996-07-03	Nymphonidae	W53	Nymphon	CEFAS	Animalia	96.0	96.0	2005-04-12 16:21:53	7	urn:catalog:CEFAS:BenticNSECCS:1960	Sampling gear:2-m beam trawl, 3 mm mesh, towed for 5-10 minutes at speed of about 0.5 m/sec. Average towing distance is 400 meters	present	Pantopoda	Arthropoda	Nymphon hirtum	Kroyer, 1844	urn:lsid:marinespecies.org:taxname:134691	hirtum	1996	01c6268d-e727-45c6-a098-cb8dd19dee4e	9a4a4965-94de-46c4-9c35-fe3e815dcc23	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	96.0	836352000000.0	836352000000.0	836352000000.0	1996.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	92.8	30118	11.9	34.34																			
Occurrence	MRNE01080002E93F	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	10	53.01093	1.364028	2014-09-10T14:30:00	Nymphonidae		Nymphon		Animalia		22.5	2022-01-18 09:29:51	9	MRNE01080002E93F		present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		2014	05c49b52-8af8-46a7-8bab-78ec14a44316	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	22.5	1410307200000.0	1410307200000.0	1410307200000.0	2014.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	21.8	9657	10.95	34.23	Marine Recorder Snapshot extract of surveys entered by Natural England	MRNE010800000D24.001	sample	14:30:00	EPSG:4326	LINESTRING (1.334006 52.9405022, 1.540004 53.043003347)	APEM	en	MRNE010800000D24	Contact: enquiries@naturalengland.org.uk	MRNE01080000003E_METH_001								
Occurrence	RSMP_Fladen_FlaOpenSea_se01_B#38724_909053	Pycnogonida		https://marineinfo.org/id/dataset/5922	7	58.56283	0.24033	2006-01-07	Nymphonidae		Nymphon	CEFAS	Animalia	0.0	0.0	2018-04-09 15:18:52	1	RSMP_Fladen_FlaOpenSea_se01_B#38724_909053		present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		2006	081be1f2-fda5-49eb-8d6d-afc26100b170	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	0.0	1136592000000.0	1136592000000.0	1136592000000.0	2006.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	146.0	150293	10.25	35.16	RSMP Baseline Dataset	Fladen_FlaOpenSea_se01_B#38724	sample		EPSG:4326			en											
Occurrence	MRNE010800011384	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	4	53.45223	0.2419742	2012-03-04	Nymphonidae		Nymphon		Animalia		12.0	2022-01-18 09:29:51	3	MRNE010800011384		present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		2012	092ee5a0-a91c-44a1-8050-342733ecb0da	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	12.0	1330819200000.0	1330819200000.0	1330819200000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	8.4	3218	10.6	33.97	Marine Recorder Snapshot extract of surveys entered by Natural England	MRNE01080000047F.01	sample		EPSG:4326			en	MRNE01080000047F	Contact: enquiries@naturalengland.org.uk	MRNE010800000017_METH_001								
Occurrence	MRNE01080002E6F8	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	10	52.97682	1.392631	2014-09-10T13:41:00	Nymphonidae		Nymphon		Animalia		20.0	2022-01-18 09:29:51	9	MRNE01080002E6F8		present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		2014	0bb5265f-f4cd-46cb-803a-a205971af8b7	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	20.0	1410307200000.0	1410307200000.0	1410307200000.0	2014.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	19.8	7142	10.97	34.21	Marine Recorder Snapshot extract of surveys entered by Natural England	MRNE010800000D20.001	sample	13:41:00	EPSG:4326	LINESTRING (1.334006 52.9405022, 1.540004 53.043003347)	APEM	en	MRNE010800000D20	Contact: enquiries@naturalengland.org.uk	MRNE01080000003E_METH_001								
Occurrence	10784396_74	Pycnogonida	doi:10.1594/PANGAEA.717137	https://marineinfo.org/id/dataset/2749	3	57.1483	5.0167	1986-05-03	Nymphonidae		Nymphon	Pangaea	Animalia		0.0	2009-06-03 00:00:00	5	urn:catalog:Pangaea:doi:10.1594/PANGAEA.717137:10784396_74	project: Circulation and Transfer of Pollutants in the North Sea, topotype: irregular surface, geartype: Oceanography	present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		1986	0bb85b42-74fe-4097-a5d2-32fc986230b5	e830dc46-156e-4646-ba4c-6d305580f167	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	0.0	515462400000.0	515462400000.0	515462400000.0	1986.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	61.2	140437	10.36	34.66							Heyer, Karin					Frauenheim, Karin; Neumann, V; Thiel, Hjalmar; T++rkay, Michael (2009): Benthos counted on dredged samples during Valdivia cruise VA44, doi:10.1594/PANGAEA.717137	1986-05-03	SampleSize=#;	5.0	http://doi.pangaea.de/doi:10.1594/PANGAEA.717137	#		
Occurrence	MRNE01080002E76C	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	12	53.00813	1.242392	2014-09-12T14:53:00	Nymphonidae		Nymphon		Animalia		19.5	2022-01-18 09:29:51	9	MRNE01080002E76C		present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		2014	0e21d5a7-fd62-4f6a-9028-64634cf5889d	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	19.5	1410480000000.0	1410480000000.0	1410480000000.0	2014.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	19.0	7160	10.94	34.05	Marine Recorder Snapshot extract of surveys entered by Natural England	MRNE010800000D37.001	sample	14:53:00	EPSG:4326	LINESTRING (1.334006 52.9405022, 1.540004 53.043003347)	APEM	en	MRNE010800000D37	Contact: enquiries@naturalengland.org.uk	MRNE01080000003E_METH_001								
Occurrence	415790	Pycnogonida	Tisbe	https://marineinfo.org/id/dataset/82		60.19175	-1.42325		Nymphonidae		Nymphon	VLIZ	Animalia			2005-10-03 12:19:12		urn:catalog:VLIZ:Tisbe:415790	AphiaID: 134691	present	Pantopoda	Arthropoda	Nymphon hirtum	(Fabricius, 1780)	urn:lsid:marinespecies.org:taxname:134691	hirtum		0e3148e7-0732-45d5-951f-66b517f545f4	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']						False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	['NO_DEPTH', 'ON_LAND']	-1.0	-784	9.74	35.3												Hayward, P.J.; Ryland, J.S. (Ed.) (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.						85269.0	Shetlands
Occurrence	MRUMU10000039991	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	18	54.7589	-5.493798	2007-07-18	Nymphonidae		Nymphon		Animalia			2022-01-18 09:29:51	7	MRUMU10000039991		present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		2007	15159e5f-4210-41a6-80b7-2541386a0fb7	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		1184716800000.0	1184716800000.0	1184716800000.0	2007.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	['NO_DEPTH']	87.4	6732	10.82	34.38	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	MRUMU10000001090.005	sample		EPSG:4326		NIEA/WMU	en	MRUMU10000001090	Contact: info@nmni.com	MRUMU100000000CA_METH_001								
Occurrence	RSMP_RSMP_H_0522_Baseline_909057	Pycnogonida		https://marineinfo.org/id/dataset/5922	1	53.66294	0.37669	2014-09-01	Nymphonidae		Nymphon	CEFAS	Animalia	19.0	19.0	2018-04-09 15:18:52	9	RSMP_RSMP_H_0522_Baseline_909057		present	Pantopoda	Arthropoda	Nymphon hirtum		urn:lsid:marinespecies.org:taxname:134691		2014	160cee86-417c-427d-9da2-db66922054cc	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	19.0	1409529600000.0	1409529600000.0	1409529600000.0	2014.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon hirtum	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134691	134691	Nymphon hirtum	[]	16.0	16142	10.4	34.15	RSMP Baseline Dataset	RSMP_H_0522_Baseline	sample		EPSG:4326			en											
