associatedSequences	basisOfRecord	class	decimalLatitude	decimalLongitude	eventDate	eventID	family	genus	identificationReferences	identificationRemarks	kingdom	maximumDepthInMeters	minimumDepthInMeters	nameAccordingTo	occurrenceID	order	organismQuantity	organismQuantityType	phylum	sampleSizeUnit	sampleSizeValue	scientificName	scientificNameID	taxonConceptID	taxonID	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	subfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	catalogNumber	collectionCode	institutionCode
None	MaterialSample	Pycnogonida	50.25	-4.217	2013-08-27	sample_311	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	594645	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	44302	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	007b3d2d-25a5-42f8-82c3-b7ceb7c2fafa	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1377561600000.0	1377561600000.0	1377561600000.0	2013.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2014-02-18	sample_327	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	626309	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	55733	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	00a60366-8015-4969-81a8-70070c3171fc	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1392681600000.0	1392681600000.0	1392681600000.0	2014.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2002-10-29	sample_495	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	954823	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	32450	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	00eb67ef-da31-44c0-98b8-8c5115cf2ba5	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1035849600000.0	1035849600000.0	1035849600000.0	2002.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2015-12-09	sample_400	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	770776	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	73359	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	0212db34-cac7-4713-80c5-cff54839a486	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1449619200000.0	1449619200000.0	1449619200000.0	2015.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2016-05-11	sample_414	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	798482	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	950	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	0242335d-b4bc-4a4c-8fe6-7cffab3f926f	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1462924800000.0	1462924800000.0	1462924800000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2007-04-30	sample_106	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	190929	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	17931	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	027af27e-103a-408a-95bf-ee1c3277e120	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1177891200000.0	1177891200000.0	1177891200000.0	2007.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2006-02-28	sample_56	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	91979	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	70171	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	028405f6-89cd-4169-8f69-e30485de15dd	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1141084800000.0	1141084800000.0	1141084800000.0	2006.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2001-03-13	sample_119	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	216656	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	63283	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	02dc7d75-d08b-4fa7-b5d5-84287b816532	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	984441600000.0	984441600000.0	984441600000.0	2001.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
None	MaterialSample	Pycnogonida	50.25	-4.217	2018-05-31	sample_482	Colossendeidae	Colossendeis	None	isolate 211-6.3.2 18S ribosomal RNA gene, partial sequence; internal transcribed spacer 1 and 5.8S ribosomal RNA gene, complete sequence; and internal transcribed spacer 2, partial sequence	Animalia	10	10	None	929096	Pantopoda	0	DNA sequence reads	Arthropoda	DNA reads	32182	Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884	None	239884	03b3c43d-ce91-4ff6-867d-640b0a12d018	7cc6bbd4-b9dd-4d0e-a157-7bde083a3ae4	['f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	10	1527724800000.0	1527724800000.0	1527724800000.0	2018.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis	1.0	2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	51	6836	12.86	34.79			
	HumanObservation	Pycnogonida	-54.8833007812	-34.5166015625			Colossendeidae	Colossendeis			Animalia	250	250			Pantopoda			Arthropoda			Colossendeis glacialis	urn:lsid:marinespecies.org:taxname:239884			03cab9b6-9078-4fef-8eda-ece622d0a266	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	250					False	False	True	False		Chelicerata	Eupantopodida	Colossendeidoidea	Colossendeinae	Colossendeis glacialis		2	1065	1274	1302	1358	379601	379607	22617	379613	134586	239884	239884	Colossendeis glacialis	[]	249	18226	1.27	33.79	38148	SOMBASE Pycnogonids	BAS
