basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	identifiedBy	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	maximumDepthInMeters	depth	footprintWKT	country	institutionCode	locality
Occurrence	MRMLN00100002138	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	1	57.68145	-4.166721	1996-01-01	N001000000DC.01	sample	EPSG:4326	Scottish Environmental Protection Agency	en	2022-01-18 09:29:51	1	MRMLN00100002138	present	MRMLN001000000DC	Contact: dassh.enquiries@mba.ac.uk	MRMLN00100000013_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	1996	006d4806-e4aa-495b-9f12-3b54fb464741	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	820454400000	820454400000	820454400000	1996	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	['NO_DEPTH']	21.2	421	9.77	33.96						
Occurrence	MRMLN001000239D2	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	14	53.59912	-4.552768	1999-09-14	N001000006C3.01	sample	EPSG:4326	Port Erin surveyors	en	2022-01-18 09:29:51	9	MRMLN001000239D2	present	MRMLN001000006C3	Contact: dassh.enquiries@mba.ac.uk	MRMLN00100000057_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	1999	0375214e-e45c-4e51-abf9-cdabcd77dc26	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	937267200000	937267200000	937267200000	1999	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	[]	50.2	19670	11.35	33.97	41.0	41.0				
Occurrence	JNCCMNCR10249148	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	Marine Recorder Snapshot extract of surveys entered by JNCC	1	52.75632	-4.796249	1977-01-01	228.00P.001	sample	EPSG:4326		en	2022-01-18 09:29:51	1	JNCCMNCR10249148	present	JNCCMNCR10005429	Contact: MarineRecorder@jncc.gov.uk	JNCCMNCR10000228_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	1977	038fbbf2-6d80-4429-9ce0-18474bf37441	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	220924800000	220924800000	220924800000	1977	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	['NO_DEPTH']	-4.0	69	11.78	34.17						
Occurrence	MRMLN0040003676A	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	1	54.07502	-4.279998	1999-09-01	MRMLN004000012E5.11	sample	EPSG:4326		en	2022-01-18 09:29:51	9	MRMLN0040003676A	present	MRMLN004000012E5	Contact: dassh.enquiries@mba.ac.uk	MRMLN004000000AE_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	1999	04790778-a05d-44cb-8a9d-c09da8348dd1	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	936144000000	936144000000	936144000000	1999	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	['NO_DEPTH']	37.8	14169	11.28	33.74			LINESTRING (-4.269997 54.0808483, -4.259998 54.086682422)			
Occurrence	MRMLN00100024D88	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	13	54.04767	-4.161627	1999-05-13	N0010000071D.01	sample	EPSG:4326	Port Erin surveyors	en	2022-01-18 09:29:51	5	MRMLN00100024D88	present	MRMLN0010000071D	Contact: dassh.enquiries@mba.ac.uk	MRMLN00100000057_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	1999	05ee69f0-e210-4861-ada7-fa4d6bd00451	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	926553600000	926553600000	926553600000	1999	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	[]	38.4	21658	11.3	33.66	39.0	39.0				
Occurrence	MRUMU1000003FD76	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	1	54.7358	-5.712501	1999-03-01	MRUMU10000001108.004	sample	EPSG:4326	NIEA/WMU	en	2022-01-18 09:29:51	3	MRUMU1000003FD76	present	MRUMU10000001108	Contact: info@nmni.com	MRUMU100000000CB_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	1999	08101d5f-8bdb-418b-9d24-1d91b57e336d	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	920246400000	920246400000	920246400000	1999	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	['NO_DEPTH']	7.6	800	10.79	34.39						
Occurrence	MRMLN0040003A323	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	10	53.97668	-4.891663	2000-05-10	MRMLN004000012EA.14	sample	EPSG:4326		en	2022-01-18 09:29:51	5	MRMLN0040003A323	present	MRMLN004000012EA	Contact: dassh.enquiries@mba.ac.uk	MRMLN004000000AE_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	2000	0821d40c-7711-4986-82dd-4084509c7a0c	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	957916800000	957916800000	957916800000	2000	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	['NO_DEPTH']	60.6	7627	11.35	34.1			LINESTRING (-4.874163 53.9783501, -4.856663 53.980017569)			
Occurrence	79617	Artenvielfalt der Nordsee - Helgoland	https://marineinfo.org/id/dataset/3196		12	54.156736444011	7.887592018991	2006-06-12						2013-02-18 12:20:17	6	urn:catalog:GEO:Artenvielfalt der Nordsee - Helgoland:79617	present				Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	2006	0ac977bd-a1ba-4ec9-9da1-150f9dd11567	8db0897b-ba54-4ef8-86f2-2adba27cb982	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1150070400000	1150070400000	1150070400000	2006	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile Leach, W.E., 1814	['NO_DEPTH']	20.2	1314	11.31	32.18				DE	GEO	Helgoland
Occurrence	MRMLN00100023D65	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	1	54.05057	-4.163926	1999-09-01	N001000006D2.01	sample	EPSG:4326	Port Erin surveyors	en	2022-01-18 09:29:51	9	MRMLN00100023D65	present	MRMLN001000006D2	Contact: dassh.enquiries@mba.ac.uk	MRMLN00100000057_METH_001	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	1999	0b8bd58b-e89e-4f65-8fd2-5572fe6dd32b	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	936144000000	936144000000	936144000000	1999	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	[]	38.4	21328	11.3	33.66	39.0	39.0				
Occurrence	MRNIR00300049E8B	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	16	54.587	-5.104996	2008-05-16	MRNIR003000012E3.001	sample	EPSG:4326	Agri-Food & Biosciences Institute (NI)	en	2022-01-18 09:29:51	5	MRNIR00300049E8B	present	MRNIR003000012E3	Contact: info@nmni.com	MRNIR003000000D6_METH_002	Nymphon gracile	urn:lsid:marinespecies.org:taxname:134687	2008	0cd423bb-b02c-42d9-a3d3-b3c87f9191fe	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1210896000000	1210896000000	1210896000000	2008	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Nymphonoidea	Nymphonidae	Nymphon	Nymphon gracile	1	2	1065	1274	1302	1358	379601	379609	1566	134591	134687	134687	Nymphon gracile	['NO_DEPTH']	174.0	12444	10.92	34.23						
