basisOfRecord	catalogNumber	class	collectionCode	continent	coordinateUncertaintyInMeters	country	datasetID	datasetName	decimalLatitude	decimalLongitude	family	fieldNumber	genus	identifiedBy	institutionCode	kingdom	lifeStage	locality	locationID	modified	occurrenceID	occurrenceStatus	order	phylum	preparations	scientificName	scientificNameAuthorship	scientificNameID	sex	specificEpithet	typeStatus	id	dataset_id	node_id	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	day	eventDate	eventID	eventRemarks	footprintSRS	language	maximumDepthInMeters	minimumDepthInMeters	month	year	depth	date_start	date_mid	date_end	date_year	footprintWKT	parentEventID	recordedBy	samplingProtocol	bibliographicCitation	occurrenceRemarks
PreservedSpecimen	INV.69032	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Irish Sea	2500.0	Isle of Man	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	54.086650228	-4.7690391523	Ammotheidae	0/Port Erin	Achelia	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	adult	Rushen	http://www.geonames.org/9782192	2017-10-16 14:57:06	http://collections.naturalsciences.be/specimen/353754	present	Pantopoda	Arthropoda	container type: tray; preservation method: dry	Achelia simplex	Giltay, 1934	urn:lsid:marinespecies.org:taxname:150548	male	simplex	type	0e1e4c71-c919-4f55-a4cb-1700b337a019	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Ammothea simplex Giltay, 1934	['NO_DEPTH']	1.2	166	11.27	34.04																					
Occurrence	RSMP_TCC_GRAB_16_1097872	Pycnogonida					https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	54.71074	-0.79507	Ammotheidae		Achelia		CEFAS	Animalia				2018-04-09 15:18:52	RSMP_TCC_GRAB_16_1097872	present	Pantopoda	Arthropoda		Achelia simplex		urn:lsid:marinespecies.org:taxname:134603				0e5f8874-6b32-4935-8569-0528bc42f676	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Achelia simplex	[]	52.0	15932	10.46	34.26	22	2012-09-22	TCC_GRAB_16	sample	EPSG:4326	en	57.0	57.0	9	2012	57.0	1348272000000.0	1348272000000.0	1348272000000.0	2012.0						
Occurrence	MRNE010800014662	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by Natural England				https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	50.6235	-2.580667	Ammotheidae		Achelia			Animalia				2022-01-18 09:29:51	MRNE010800014662	present	Pantopoda	Arthropoda		Achelia simplex		urn:lsid:marinespecies.org:taxname:134603				14b550c4-1c35-4280-8110-799a9e518b13	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Achelia simplex	[]	22.4	1261	12.65	34.63	12	2013-07-12	MRNE01080000061F.001	sample	EPSG:4326	en		25.0	7	2013	25.0	1373587200000.0	1373587200000.0	1373587200000.0	2013.0	LINESTRING (-2.58046 50.6232755, -2.580511 50.623347274)	MRNE01080000061F	Contact: enquiries@naturalengland.org.uk	MRNE010800000027_METH_002		
Occurrence	MRCCW1630001AD3D	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by NRW				https://marineinfo.org/id/dataset/8017	Marine Recorder Snapshot extract of surveys entered by NRW	51.69346	-4.686968	Ammotheidae		Achelia	Hebog Ltd		Animalia				2022-01-18 09:29:51	MRCCW1630001AD3D	present	Pantopoda	Arthropoda		Achelia simplex		urn:lsid:marinespecies.org:taxname:134603				1db613f3-9377-4bc3-b306-7b1fb9bb9126	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Achelia simplex	['NO_DEPTH']	-1.2	1	12.17	33.28	6	2017-10-06	MRCCW16300000218.012	sample	EPSG:4326	en			10	2017		1507248000000.0	1507248000000.0	1507248000000.0	2017.0	LINESTRING (-4.682617 51.695764, -4.676929 51.697468176)	MRCCW16300000218	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW16300000058_METH_001		
PreservedSpecimen	INV.69031	Pycnogonida	urn:catalog:RBINS:Pycnogonida	Irish Sea	2500.0	Isle of Man	be_rbins_invertebrates_cheliceratamarine	Royal Belgian Institute of Natural Sciences marine Chelicerata collection	54.086650228	-4.7690391523	Ammotheidae	0/Port Erin	Achelia	Giltay L.B. (Dr.)	RBINS-Scientific Heritage	Animalia	adult	Rushen	http://www.geonames.org/9782192	2017-10-16 14:56:24	http://collections.naturalsciences.be/specimen/752910	present	Pantopoda	Arthropoda	container type: tray; preservation method: dry	Achelia simplex	Giltay, 1934	urn:lsid:marinespecies.org:taxname:150548	male	simplex	type	204b624c-0330-43b7-b608-baf4b528c643	d8634135-090e-455b-8d98-c319bfd7aaed	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Ammothea simplex Giltay, 1934	['NO_DEPTH']	1.2	166	11.27	34.04																					
Occurrence	411526	Pycnogonida	Tisbe		583259.0		https://marineinfo.org/id/dataset/82		52.654708308725	-11.802196277329	Ammotheidae		Achelia		VLIZ	Animalia		Irish Exclusive economic Zone		2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:411526	present	Pantopoda	Arthropoda		Achelia simplex	(Giltay, 1934)	urn:lsid:marinespecies.org:taxname:134603		simplex		22d6d6a7-8797-40a5-9487-61234da7ffd6	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Achelia simplex	['NO_DEPTH']	175.0	100361	12.77	35.44																				Stock, J.H. (1990). Sur deux pycnogonides armoricains remarquables [Two scarce Pycongonides living in Brittany]. <i>Cah. Biol. Mar. 31(4)</i>: 513-516	AphiaID: 134603
Occurrence	411901	Pycnogonida	Tisbe		25271.0		https://marineinfo.org/id/dataset/82		54.2399	-4.54935	Ammotheidae		Achelia		VLIZ	Animalia		Isle of Man		2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:411901	present	Pantopoda	Arthropoda		Achelia simplex	(Giltay, 1934)	urn:lsid:marinespecies.org:taxname:134603		simplex		3fedf041-f496-422e-9f61-f9d197f6edfe	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Achelia simplex	['NO_DEPTH', 'ON_LAND']	-369.0	-5174																						Hayward, P.J.; Ryland, J.S. (Ed.) (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.	AphiaID: 134603
Occurrence	314930	Pycnogonida	Tisbe				https://marineinfo.org/id/dataset/82		54.25	-4.5	Ammotheidae		Achelia		VLIZ	Animalia		Isle of Man		2005-04-04 10:20:42	urn:catalog:VLIZ:Tisbe:314930	present	Pantopoda	Arthropoda		Achelia simplex	Giltay, 1934	urn:lsid:marinespecies.org:taxname:150548		simplex		4bc7a5e3-c395-4d6b-9a3d-e19468bb7a0b	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Ammothea simplex	['NO_DEPTH', 'ON_LAND']	-434.0	-7333																						Giltay, L. (1934). Remarques sur le genre <i>Ammothea</i> Leach et description d'une espèce nouvelle, de la mer d'Irlande [Remarks on the genus <i>Ammothea</i> Leach and a description of a new species, from the Irish Sea]. <i>Bull. Mus. royal d'Hist. Nat. Belg./Med. Kon. Natuurhist. Mus. Belg. 10(18)</i>: 1-6	AphiaID: 150548
Occurrence	MRMLN00400024F2F	Pycnogonida	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)				https://marineinfo.org/id/dataset/8021	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	54.08246	-4.791797	Ammotheidae		Achelia			Animalia				2022-01-18 09:29:51	MRMLN00400024F2F	present	Pantopoda	Arthropoda		Achelia simplex		urn:lsid:marinespecies.org:taxname:134603				73e372f2-ba2c-40f5-a865-c3cd75707e8f	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Achelia simplex	['NO_DEPTH']	29.6	955	11.3	34.03	1	1994-08-01	MRMLN00400001081.01	sample	EPSG:4326	en			8	1994		775699200000.0	775699200000.0	775699200000.0	1994.0		MRMLN00400001081	Contact: dassh.enquiries@mba.ac.uk	MRMLN004000000A8_METH_002		
Occurrence	410731	Pycnogonida	Tisbe				https://marineinfo.org/id/dataset/82		53.18	-9.43	Ammotheidae		Achelia		VLIZ	Animalia		Galway Bay		2005-10-03 12:19:12	urn:catalog:VLIZ:Tisbe:410731	present	Pantopoda	Arthropoda		Achelia simplex	(Giltay, 1934)	urn:lsid:marinespecies.org:taxname:134603		simplex		76a4a246-c61c-473b-b66b-02fab363e6b7	10fe54bb-b93b-4f00-bf4c-bd51542614ef	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	False	False	True	False	Biota	Chelicerata	Eupantopodida	Ascorhynchoidea	Achelia simplex	1	2	1065	1274	1302	1358	379601	379608	1562	134568	134603	134603	Achelia simplex	['NO_DEPTH']	37.8	5664	11.96	34.14																				Hayward, P.J.; Ryland, J.S. (Ed.) (1990). The marine fauna of the British Isles and North-West Europe: 1. Introduction and protozoans to arthropods. Clarendon Press: Oxford, UK. ISBN 0-19-857356-1. 627 pp.	AphiaID: 134603
