basisOfRecord	catalogNumber	class	coordinateUncertaintyInMeters	countryCode	day	decimalLatitude	decimalLongitude	eventDate	eventID	family	fieldNumber	footprintWKT	genus	geodeticDatum	identifiedBy	identifiedByID	institutionCode	institutionID	kingdom	language	maximumDepthInMeters	minimumDepthInMeters	month	occurrenceID	occurrenceStatus	order	organismQuantity	organismQuantityType	phylum	preparations	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	specificEpithet	taxonRank	type	verbatimEventDate	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	collectionCode	occurrenceRemarks	sex
PreservedSpecimen	JR275_1282.2	Pycnogonida	59	AQ	29	-74.6768	-29.4526	2012-02-29	JR275	Nymphonidae	JR275_86	LINESTRING (-29.45447 -74.67694, -29.45068 -74.67659)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	580.99	573.42	2	JR275_1282.2	Present	Pantopoda	1	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr275.pdf	Nymphon proximum	Calman, 1915	urn:lsid:marinespecies.org:taxname:173502	proximum	species	PhysicalObject	29/02/2012	2012	0590731d-95b3-44bc-8894-f51e30ca2ca7	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	577.2049999999999	1330473600000.0	1330473600000.0	1330473600000.0	2012.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	554	108046	-1.72	33.98			
HumanObservation	38239	Pycnogonida				-67.7699966431	33.3065986633			Nymphonidae			Nymphon				BAS		Animalia		800.0	800.0				Pantopoda			Arthropoda			Nymphon proximum		urn:lsid:marinespecies.org:taxname:173502						09692943-7a8b-453d-83ad-979116025bfd	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	800.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum		2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	758	99959	-1.63	33.85	SOMBASE Pycnogonids		
HumanObservation	22963	Pycnogonida				-62.8666000366	-59.4500007629			Nymphonidae			Nymphon				BAS		Animalia		935.0	884.0				Pantopoda			Arthropoda			Nymphon proximum		urn:lsid:marinespecies.org:taxname:173502						138c233d-1f34-4350-9508-4a3b7ca48383	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	909.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum		2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	1164	33293	-0.66	33.98	SOMBASE Pycnogonids		
HumanObservation	39395	Pycnogonida				-71.6666030884	-12.6833000183			Nymphonidae			Nymphon				BAS		Animalia		232.0	225.0				Pantopoda			Arthropoda			Nymphon proximum		urn:lsid:marinespecies.org:taxname:173502						14d1ccfb-8899-49a3-844c-7db4da50c54d	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	228.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum		2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	265	13682	-1.76	33.73	SOMBASE Pycnogonids		
HumanObservation	22962	Pycnogonida				-62.6782989502	-57.8450012207			Nymphonidae			Nymphon				BAS		Animalia		1138.0	672.0				Pantopoda			Arthropoda			Nymphon proximum		urn:lsid:marinespecies.org:taxname:173502						16e54d77-1f56-4677-8f09-b754a2de334c	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	905.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum		2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	['DEPTH_EXCEEDS_BATH']	816	52764	-0.89	33.94	SOMBASE Pycnogonids		
HumanObservation	34817	Pycnogonida				-66.1666030884	49.6833000183			Nymphonidae			Nymphon				BAS		Animalia		300.0	300.0				Pantopoda			Arthropoda			Nymphon proximum		urn:lsid:marinespecies.org:taxname:173502						19f0e68c-744f-4554-9dd0-70ff161c23c2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	300.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum		2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	469	37627	-1.71	33.9	SOMBASE Pycnogonids		
PreservedSpecimen	PS71_1469_03	Pycnogonida	350	AQ	12	-70.3988	-8.32	2008-01-12	PS71	Nymphonidae	PS71_048-1	LINESTRING (-8.3286667 -70.4, -8.311333333 -70.39766667)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	602.0	595.0	1	PS71_1469_03	Present	Pantopoda	2	individuals	Arthropoda	Whole animal in 96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/polarstern_antxxiv3.pdf	Nymphon proximum	Calman, 1915	urn:lsid:marinespecies.org:taxname:173502	proximum	species	PhysicalObject	12/1/2008	2008	1bd6eeb7-43b2-4212-9401-6c0777c79091	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	598.5	1200096000000.0	1200096000000.0	1200096000000.0	2008.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	608	11195	-1.7	33.8		well developed larvae	Male
HumanObservation	22966	Pycnogonida				-72.4665985107	175.466598511			Nymphonidae			Nymphon				BAS		Animalia		565.0	548.0				Pantopoda			Arthropoda			Nymphon proximum		urn:lsid:marinespecies.org:taxname:173502						1cac8227-6a74-4078-bded-78f43f9ab72a	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	556.5					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum		2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	552	156005	-1.62	34.12	SOMBASE Pycnogonids		
PreservedSpecimen	JR15005_1220_03a	Pycnogonida	269	AQ	10	-60.3566	-46.6859	2016-03-10	JR15005	Nymphonidae	JR15005_63	LINESTRING (-46.68423 -60.35437, -46.68761 -60.35889)	Nymphon	EPSG:4326	Jamie Maxwell	https://orcid.org/0000-0001-5705-2811	BAS	https://ror.org/01rhff309	Animalia	en	545.0	442.0	3	JR15005_1220_03a	Present	Pantopoda	1	individuals	Arthropoda	96% ethanol	Agassiz trawl|https://www.bodc.ac.uk/resources/inventories/cruise_inventory/reports/jr15005.pdf	Nymphon proximum	Calman, 1915	urn:lsid:marinespecies.org:taxname:173502	proximum	species	PhysicalObject	10/3/2016	2016	202e916c-85cf-4753-8ba9-f55b950660e9	5080b123-3bcf-4be9-85cd-39eb81940fb1	['dc6c6ea2-83f5-4b18-985a-9efff6320d69']	493.5	1457568000000.0	1457568000000.0	1457568000000.0	2016.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum	1.0	2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	635	22210	-0.87	33.81			
HumanObservation	21505	Pycnogonida				-73.2782974243	-21.4249992371			Nymphonidae			Nymphon				BAS		Animalia		1538.0	1538.0				Pantopoda			Arthropoda			Nymphon proximum		urn:lsid:marinespecies.org:taxname:173502						209ce944-42a3-4113-921d-3bd0d352e996	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1538.0					False	False	True	False		Chelicerata	Eupantopodida	Nymphonoidea	Nymphon proximum		2	1065	1274	1302	1358	379601	379609	1566	134591	173502	173502	Nymphon proximum	[]	1543	30123	-1.68	33.88	SOMBASE Pycnogonids		
