basisOfRecord	catalogNumber	class	collectionCode	continent	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventTime	family	fieldNumber	footprintWKT	genus	institutionCode	kingdom	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	order	phylum	samplingProtocol	scientificName	scientificNameAuthorship	scientificNameID	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	subphylum	suborder	superfamily	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	coordinateUncertaintyInMeters	country	geodeticDatum	language	locationID	preparations	recordedBy	sex	specificEpithet	associatedReferences	bibliographicCitation	coordinatePrecision	identifiedBy	occurrenceRemarks	verbatimDepth	waterBody
Occurrence	089810485001015	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	4	63.962833	8.076167	2013-10-04T22:22:00+00:00/2013-10-04T22:27:00+00:00	Cruise: 58GS-2013112 Sample: 485	22:22:00+00:00/22:27:00+00:00	Phoxichilidiidae	catchId: 15	LINESTRING(8.076167 63.962833,8.073333 63.961333)	Anoplodactylus	IMR	Animalia	MAREANO Reference Station: 898	330.16	329.74	2024-05-23 10:35:05	10	089810485001015	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Anoplodactylus typhlops	Sars, 1888	urn:lsid:marinespecies.org:taxname:134729	2013	21ed20d5-78be-490d-baee-b60007d15f5e	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	329.95000000000005	1380844800000.0	1380844800000.0	1380844800000.0	2013.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	[]	334.4	18594	9.48	34.07																
PreservedSpecimen	4958	Pycnogonida	NIWA	Oceania		NIWA Invertebrate Collection	26	-45.7667	174.4083	26/10/1979			Phoxichilidiidae		POINT (174.4083 -45.7667)	Anoplodactylus	NIWA Invertebrate Collection	Animalia		1640.0	1640.0	8/04/2022	10	5f2a08a4-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Sled, epibenthic	Anoplodactylus typhlops	Sars, 1888	urn:lsid:marinespecies.org:taxname:134729	1979	24fff354-b59f-4ff7-bcbf-cba1f2859553	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1640.0					False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops		2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	[]	1628.0	236440	10.52	34.3	500	New Zealand	WGS84	en	S150	Specimen(s), Unknown = 2	NZOI	female	typhlops							
HumanObservation	37139	Pycnogonida	SOMBASE Pycnogonids					-57.1500015259	-26.6665992737				Phoxichilidiidae			Anoplodactylus	BAS	Animalia		1837.0	1687.0					Pantopoda	Arthropoda		Anoplodactylus typhlops		urn:lsid:marinespecies.org:taxname:134729		3e30c668-4889-4884-830a-560b1fa97cf2	3f2c1827-a206-41c4-bc53-58267dd28cbd	['310922b4-9d0c-4de1-92d7-9b442d34765b']	1762.0					False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops		2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	['DEPTH_EXCEEDS_BATH']	787.0	4415	-0.74	33.63																
HumanObservation	Spp-43-058_C4	Pycnogonida	B89PII					23.0369167328	-82.928817749				Phoxichilidiidae			Anoplodactylus	HRI	Animalia	ESE  Gulf of Mexico	1064.0	0.0					Pantopoda	Arthropoda		Anoplodactylus typhlops	Sars,	urn:lsid:marinespecies.org:taxname:134729		4b020a90-86e8-40f9-beb2-e1471e082b3c	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	532.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	['DEPTH_EXCEEDS_BATH']	451.0	2084	27.7	35.97										Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	262350.0	Child, C. A.	Database description and disclaimer at: http://gulfbase.org/	0-1064	Gulf of Mexico
Occurrence	241810005001012	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	14	65.453558	6.727978	2021-04-14T04:02:00+00:00/2021-04-14T04:07:00+00:00	Cruise: 58GS-2021103 Sample: 5	04:02:00+00:00/04:07:00+00:00	Phoxichilidiidae	catchId: 12	LINESTRING(6.727978 65.453558,6.724808 65.455405)	Anoplodactylus	IMR	Animalia	MAREANO Reference Station: 2418	388.98	387.48	2024-05-23 10:35:05	4	241810005001012	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Anoplodactylus typhlops	Sars, 1888	urn:lsid:marinespecies.org:taxname:134729	2021	4b95ba5f-3a61-4ecb-883b-5cf06d92b8ae	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	388.23	1618358400000.0	1618358400000.0	1618358400000.0	2021.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	[]	397.4	182603	9.61	35.02																
Occurrence	156510551001019	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	1	66.558928	8.235105	2015-09-01T15:55:00+00:00/2015-09-01T16:00:00+00:00	Cruise: 58GS-2015113 Sample: 551	15:55:00+00:00/16:00:00+00:00	Phoxichilidiidae	catchId: 19	LINESTRING(8.235105 66.558928,8.238667 66.5605)	Anoplodactylus	IMR	Animalia	MAREANO Reference Station: 1565	337.1	330.44	2024-05-23 10:35:05	9	156510551001019	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Anoplodactylus typhlops	Sars, 1888	urn:lsid:marinespecies.org:taxname:134729	2015	6008eebb-a172-44a7-b104-360cda61f158	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	333.77	1441065600000.0	1441065600000.0	1441065600000.0	2015.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	[]	325.0	156342	9.21	35.01																
PreservedSpecimen	4957	Pycnogonida	NIWA	Oceania		NIWA Invertebrate Collection	26	-45.7633	174.5083	26/10/1979			Phoxichilidiidae		POINT (174.5083 -45.7633)	Anoplodactylus	NIWA Invertebrate Collection	Animalia		1586.0	1586.0	8/04/2022	10	5d55647e-fa36-11e2-96b3-aa6f927c92a3	present	Pantopoda	Arthropoda	Sled, epibenthic	Anoplodactylus typhlops	Sars, 1888	urn:lsid:marinespecies.org:taxname:134729	1979	63fcb162-231c-4f2c-8eeb-a779d11209b3	2c6db58f-ae91-4a17-9f0f-7db28506b94f	['6c17c09e-5cc2-4d5a-8463-e866731d35a1']	1586.0					False	False	True	False		Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops		2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	[]	1572.0	239908	10.54	34.3	500	New Zealand	WGS84	en	S151	Specimen(s), Unknown = 3	NZOI	mixed	typhlops							
Occurrence	244310007001009	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4540	beamtrawl_2006-2022	16	65.249015	6.724548	2021-04-16T15:38:00+00:00/2021-04-16T15:43:00+00:00	Cruise: 58GS-2021103 Sample: 7	15:38:00+00:00/15:43:00+00:00	Phoxichilidiidae	catchId: 9	LINESTRING(6.724548 65.249015,6.725613 65.24684)	Anoplodactylus	IMR	Animalia	MAREANO Reference Station: 2443	318.63	313.36	2024-05-23 10:35:05	4	244310007001009	present	Pantopoda	Arthropoda	Beamtrawl,Subsample method: Sieve content - Mesh size (mm): 5.0	Anoplodactylus typhlops	Sars, 1888	urn:lsid:marinespecies.org:taxname:134729	2021	79951d51-388c-4017-8895-3abf79f97949	14fa3c3e-259c-4af9-9314-eee1dc3a119b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	315.995	1618531200000.0	1618531200000.0	1618531200000.0	2021.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	[]	300.0	166585	9.69	34.93																
Occurrence	156550177001001	Pycnogonida	IMRMarbunnBenthos	Norwegian Sea	https://marineinfo.org/id/dataset/4541	rp-sledge_2006-2022	1	66.556467	8.229528	2015-09-01T17:39:00+00:00/2015-09-01T17:54:00+00:00	Cruise: 58GS-2015113 Sample: 177	17:39:00+00:00/17:54:00+00:00	Phoxichilidiidae	catchId: 1	LINESTRING(8.229528 66.556467,8.236667 66.5595)	Anoplodactylus	IMR	Animalia	MAREANO Reference Station: 1565	331.14	329.95	2024-05-23 10:35:05	9	156550177001001	present	Pantopoda	Arthropoda	RP-sledge,Subsample method: Decanted - Mesh size (mm): 0.5	Anoplodactylus typhlops	Sars, 1888	urn:lsid:marinespecies.org:taxname:134729	2015	7ddce441-6376-4bec-84f0-2400bfbef027	152259dc-9c20-4c1a-9644-8e4b509d4f73	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	330.54499999999996	1441065600000.0	1441065600000.0	1441065600000.0	2015.0	False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	[]	325.0	156515	9.21	35.01																
HumanObservation	Spp-43-058_C1	Pycnogonida	B89PII					23.0251464844	-82.887260437				Phoxichilidiidae			Anoplodactylus	HRI	Animalia	ESE  Gulf of Mexico	1064.0	0.0					Pantopoda	Arthropoda		Anoplodactylus typhlops	Sars,	urn:lsid:marinespecies.org:taxname:134729		869f2dff-2c36-4c32-aab3-920ba2aed6d5	d1001fdc-d4a2-4d01-bcd2-2e122f2ca537	['310922b4-9d0c-4de1-92d7-9b442d34765b']	532.0					False	False	True	False	Biota	Chelicerata	Eupantopodida	Phoxichilidoidea	Anoplodactylus typhlops	1.0	2	1065	1274	1302	1358	379601	379610	14469	134592	134729	134729	Anoplodactylus typhlops	['DEPTH_EXCEEDS_BATH']	126.0	466	27.69	35.98										Child, C. A. 2009. Pycnogonida and Xiphosura (Cheliceriformes) of the Gulf of Mexico, Pp. 815-820.Felder, D.L. and D.K. Camp (eds.), Gulf of Mexico-Origins, Waters, and Biota. Biodiversity. Texas A&M Press, College Station, Texas.	Moretzsohn, F., J. Brenner, P. Michaud, J.W. Tunnell, and T. Shirley. 2009. Biodiversity of the Gulf of Mexico Database. Version 1. URL: http://gulfbase.org/	249350.0	Child, C. A.	Database description and disclaimer at: http://gulfbase.org/	0-1064	Gulf of Mexico
