basisOfRecord	catalogNumber	collectionCode	datasetID	datasetName	day	decimalLatitude	decimalLongitude	eventDate	eventID	eventRemarks	footprintSRS	identifiedBy	language	modified	month	occurrenceID	occurrenceStatus	parentEventID	recordedBy	samplingProtocol	scientificName	scientificNameID	year	id	dataset_id	node_id	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	subfamily	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	subfamilyid	genusid	speciesid	aphiaID	originalScientificName	wrims	flags	bathymetry	shoredistance	sst	sss	continent	coordinateUncertaintyInMeters	country	institutionCode	locality	individualCount	maximumDepthInMeters	minimumDepthInMeters	preparations	references	samplingEffort	depth	eventTime	footprintWKT	locationID
Occurrence	JNCCMNCR50482094	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	https://marineinfo.org/id/dataset/8016	Marine Recorder Snapshot extract of surveys entered by National Museums Northern Ireland (NMNI)	13	54.41428	-5.622709	1982-05-13	550.006.001	sample	EPSG:4326	David Erwin	en	2022-01-18 09:29:51	5	JNCCMNCR50482094	present	JNCCMNCR50012095	Contact: info@nmni.com	MRUMU10000000003_METH_001	Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	1982	00af2b60-3058-40f1-99fe-f138c3a0e332	9651c30a-ea93-4e20-8cce-e9e951d9fe68	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	390096000000.0	390096000000.0	390096000000.0	1982.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	['NO_DEPTH']	5.4	591	10.86	34.3															
Occurrence	287197647	66563	https://marineinfo.org/id/dataset/692		6	51.712814678057654	-5.16254046675463	1960-06-06/1960-06-06						2014-04-16 15:57:02	6	urn:catalog:Natural Resources Wales:66563:287197647	present				Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	1960	00ee1054-9566-45a4-94e0-80cbdda245ee	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	-302054400000.0	-302054400000.0	-302054400000.0	1960.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	['NO_DEPTH']	-13.6	359	12.11	33.87	Europe	70.7	GB	Natural Resources Wales	Dale Roads										
HumanObservation	DASSHDT00000009_TH_HG_ 23A_134674	The Marine Biological Association of the United Kingdom	https://marineinfo.org/id/dataset/5247		3	51.90548	1.27615	2007-09-03	DASSHDT00000009_TH_HG_23A					2014-08-18 00:00:00	9	DASSH_DASSHDT00000009_TH_HG_ 23A_134674	present			Sampling instrument: 50: Sediment Grab	Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	2007	019c4352-a833-4a75-8ddd-136766cbbea2	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1188777600000.0	1188777600000.0	1188777600000.0	2007.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	[]	2.0	1408	12.1	34.17	North East Atlantic	100.0		Marine Biological Association of the UK (MBA)		1.0	3.9	3.9	National Marine Biological Analytical Quality Control scheme; Formalin	http://www.cefas.defra.gov.uk/alsf.aspx	1.000m2	3.9			
Occurrence	MRNE0108000114FE	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	14	53.3828	0.2772868	2012-03-14	MRNE01080000046D.01	sample	EPSG:4326		en	2022-01-18 09:29:51	3	MRNE0108000114FE	present	MRNE01080000046D	Contact: enquiries@naturalengland.org.uk	MRNE010800000017_METH_002	Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	2012	03a65b0d-317e-4446-ae6d-a929d9f45587	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1331683200000.0	1331683200000.0	1331683200000.0	2012.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	[]	10.4	2644	10.72	33.91								14.0				14.0			
Occurrence	RSMP_HABMAP_58a_927030		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset		52.0282	-5.7519		HABMAP_58a	sample	EPSG:4326		en	2018-04-09 15:18:52		RSMP_HABMAP_58a_927030	present				Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674		040e9a65-3eab-49ef-9b98-904e78145b76	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']					False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	[]	101.0	28369	12.0	34.42				CEFAS			100.0	100.0				100.0			
Occurrence	RSMP_MPACSCB2014#154A1#GT113#27132_927023		https://marineinfo.org/id/dataset/5922	RSMP Baseline Dataset	10	52.97682	1.39263	2014-09-10	MPACSCB2014#154A1#GT113#27132	sample	EPSG:4326		en	2018-04-09 15:18:52	9	RSMP_MPACSCB2014#154A1#GT113#27132_927023	present				Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	2014	043a04bf-d181-4dc8-a153-40e2fc93cbeb	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1410307200000.0	1410307200000.0	1410307200000.0	2014.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	[]	19.8	7142	10.97	34.21				CEFAS			19.98	19.98				19.98			
HumanObservation	070419_FFMC66_50mSW_2_134674	The Marine Biological Association of the United Kingdom	https://marineinfo.org/id/dataset/5247		19	55.86066	-5.31763	2007-04-19	070419_FFMC66_50mSW_2					2014-07-22 00:00:00	4	DASSH_070419_FFMC66_50mSW_2_134674	present		Environmental Services	Sampling instrument: 50: Sediment Grab; Seive mesh size: 1.000mm	Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	2007	063c4ca5-47ac-42ee-8e06-429888ade0df	0c1cb7e9-c7d1-4643-b245-daa8839a183f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1176940800000.0	1176940800000.0	1176940800000.0	2007.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	[]	28.0	120	10.53	34.5	North East Atlantic	10.0		Marine Biological Association of the UK (MBA)		1.0	25.2	25.2	NMBAQC		0.100m2	25.2			
Occurrence	86adbfcec31db3b01a2160229061_60229061_134674_eaeb20fa6e	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	https://marineinfo.org/id/dataset/8244	QUADRIGE - Coastal monitoring database and products, 1974 onwards. (6064)	25	44.6859169	-1.193167	2008-03-25T00:00:00	86adbfcec31db3b01a21		EPSG:4326		en	2023-04-05 17:28:04	3	86adbfcec31db3b01a2160229061_60229061_134674_eaeb20fa6e	present	60000922_BIO_ZooBenthos		Sampling device : Square metallic corer 20 x 20 cm ; Taxon count after sieving 1 mm (square mesh)	Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	2008	06623219-cae9-4f4a-b3af-351f51df382b	9c2d6787-245d-4661-b052-c14bccfe1c1b	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	1206403200000.0	1206403200000.0	1206403200000.0	2008.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	['NO_DEPTH']	-0.6	1217	16.02	31.49		0.0			088-P-146 - Afrique int HZN - ZooBenthos Biology_60000922_BIO_ZooBenthos								00:00:00	POLYGON ((44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712, 44.6859169006 -1.1931669712))	60000922_BIO_ZooBenthos
Occurrence	MRNE0108000123BD	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	Marine Recorder Snapshot extract of surveys entered by Natural England	25	50.70876	-1.079265	2012-02-25	MRNE0108000004C8.001	sample	EPSG:4326	APEM	en	2022-01-18 09:29:51	2	MRNE0108000123BD	present	MRNE0108000004C8	Contact: enquiries@naturalengland.org.uk	MRNE01080000001E_METH_001	Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	2012	073ec3b6-95ab-4f9d-8442-66feb33977ff	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	1330128000000.0	1330128000000.0	1330128000000.0	2012.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	[]	3.4	510	12.67	34.1								7.0				7.0			
Occurrence	MRCCW10000038568	Marine Recorder Snapshot extract of surveys entered by NRW	https://marineinfo.org/id/dataset/8017	Marine Recorder Snapshot extract of surveys entered by NRW	6	51.71236	-5.156599	1975-06-06	M60*12	sample	EPSG:4326		en	2022-01-18 09:29:51	6	MRCCW10000038568	present	MRCCW10000001256	Contact: enquiries@naturalresourceswales.gov.uk	MRCCW10000000044_METH_001	Endeis spinosa	urn:lsid:marinespecies.org:taxname:134674	1975	07b10c47-d49f-44d3-a172-17bd83497f1e	df6977ea-a704-4c48-bd46-ebbbb95e0bbc	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	171244800000.0	171244800000.0	171244800000.0	1975.0	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Phoxichilidoidea	Endeidae	Endeinae	Endeis	Endeis spinosa	1	2	1065	1274	1302	1358	379601	379610	1565	379617	134588	134674	134674	Endeis spinosa	True	['NO_DEPTH']	-24.0	55	12.11	33.87															
