basisOfRecord	catalogNumber	collectionCode	datasetID	day	decimalLatitude	decimalLongitude	eventDate	eventID	individualCount	institutionCode	lifeStage	locality	maximumDepthInMeters	minimumDepthInMeters	modified	month	occurrenceID	occurrenceStatus	samplingEffort	samplingProtocol	scientificName	scientificNameID	sex	year	id	dataset_id	node_id	depth	date_start	date_mid	date_end	date_year	dropped	absence	marine	brackish	superdomain	kingdom	phylum	subphylum	class	order	suborder	superfamily	family	genus	species	superdomainid	kingdomid	phylumid	subphylumid	classid	orderid	suborderid	superfamilyid	familyid	genusid	speciesid	aphiaID	originalScientificName	flags	bathymetry	shoredistance	sst	sss	associatedReferences	bibliographicCitation	country	dynamicProperties	identifiedBy	preparations	scientificNameAuthorship	waterBody	datasetName	eventRemarks	footprintSRS	language	parentEventID	recordedBy	associatedMedia	associatedSequences	dataGeneralizations	footprintWKT	identificationQualifier	locationID	locationRemarks	occurrenceRemarks	coordinateUncertaintyInMeters	eventTime	continent
Occurrence	AarhusUniversity_zoobenthos_185452	Time series of zoobenthos in Danish waters	https://marineinfo.org/id/dataset/4494	27	57.552	10.4573	1990-04-27	88524	1.0	Aarhus University, Department of Bioscience, Marine Ecology Roskilde	U	3206S	7.0	7.0	2015-07-22 14:03:01	4	AarhusUniversity_zoobenthos_185452	present	0,0143 m²	Benthos Samplers	Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:239867	U	1990	0002a9c3-84b7-47b4-91ef-4d8b85cf4959	ec9df3b9-3b2b-4d83-881b-27bcbcd57b95	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	7.0	641174400000	641174400000	641174400000	1990	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum littorale	[]	6.0	1249	10.43	30.44																									
PreservedSpecimen	10989.81622	Invertebrate Zoology: Crustacea		8	44.4329986572	-62.1669998169	1885-07-08T12:00:00Z		1.0	USNM			232.0	232.0		7					Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:134744		1885	00256a1c-6a2a-4f72-a329-3663caa309b9	89e23fc8-3f61-4480-9de3-358fe6eefe0b	['310922b4-9d0c-4de1-92d7-9b442d34765b']	232.0	-2666044800000	-2666044800000	-2666044800000	1885	False	False	True	False		Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale		2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum littorale	[]	214.0	44969	9.16	30.2	National Museum of Natural History, Smithsonian Institution	Department of Invertebrate Zoology, Research and Collections Information System, NMNH, Smithsonian Institution. See: http://www.mnh.si.edu/rc/db/collection_db_policy1.html, 05-14-2010	Canada	observedindividualcount=1;	Smith, S. I.	Alcohol (Ethanol)	(Str�m)	North Atlantic Ocean																	
Occurrence	MRMLN003000017C6	Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	https://marineinfo.org/id/dataset/8021	1	50.92726	-11.08339	2001-01-01	MRMLN00300000018.01					195.0		2022-01-18 09:29:51	1	MRMLN003000017C6	present		MRMLN00300000002_METH_001	Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:239867		2001	0030435e-ddea-4c73-a747-3b2387c13285	d52444db-3aee-4ac3-8181-b8952fe53821	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	195.0	978307200000	978307200000	978307200000	2001	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum litorale	[]	192.4	91709	13.33	35.48					CEFAS Surveyors				Marine Recorder Snapshot extract of surveys entered by The archive for marine species and habitats data (DASSH)	sample	EPSG:4326	en	MRMLN00300000018	Contact: dassh.enquiries@mba.ac.uk											
Occurrence	NA	NA	https://marineinfo.org/id/dataset/2144	1	60.75	3.5	1991-01-01	6809				NA			2023-04-05 17:28:04	1	P41789	present		NA	Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:134744		1991	00db7209-0e08-4b18-bc16-3d0ae7b1e8e3	7e1f81d3-fe7a-48e8-9a44-fe62c8ca302a	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']		662688000000	662688000000	662688000000	1991	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum littorale	['NO_DEPTH']	327.0	62061	9.74	34.36					NA		NA		Year of the Stomach	NA	EPSG:4326	en		NA	NA	NA	NA	NA	NA	NA	NA	NA			
Occurrence	MRMLN00400000077_SE_5449_239867	1778-1998 Ivor Rees North Wales Marine Fauna Ad-hoc sightings shore and ship-based surveys	https://marineinfo.org/id/dataset/5688	9	53.186455	-4.2137289	1953-04-09	MRMLN00400000077_SE_5449							2019-08-30 11:11:01	4	MRMLN00400000077_SE_5449_239867	present			Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:239867		1953	019920b3-29c7-466e-acea-7840cda76915	d7b8383e-4476-4e9e-89c5-c1bd0352c1d9	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		-527990400000	-527990400000	-527990400000	1953	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum litorale	['NO_DEPTH']	-4.4	214											1778-1998 Ivor Rees North Wales Marine Fauna Ad-hoc sightings shore and ship-based surveys	sample	EPSG:4326	en							original name: Pycnogonum littorale			"""1 sp. Amongst empty shells and stones in oyster dredge"""	250.0		
Occurrence	IGFS2020-017-030	Groundfish Survey Invertebrate Data	https://marineinfo.org/id/dataset/6449	5	51.117	-9.3225	2020-11-05T13:34:02/2020-11-05T14:05:02	IGFS2020-017					115.0	115.0	2021-07-06 10:44:36	11	IGFS2020-017-030	present			Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:134744	unknown	2020	01a405c5-ab58-4392-aaf0-5416486d819e	5ded37eb-bf01-46ae-9470-d5e2863fd622	['4bf79a01-65a9-4db6-b37b-18434f26ddfc']	115.0	1604534400000	1604534400000	1604534400000	2020	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum littorale	[]	112.8	35954	12.58	35.07									Groundfish Survey Invertebrate Data		EPSG:4326	en						LINESTRING (51.117 -9.349, 51.117 -9.296)						13:34:02/14:05:02	
Occurrence	MRNE0101000005E1	Marine Recorder Snapshot extract of surveys entered by Natural England	https://marineinfo.org/id/dataset/8020	5	52.98116	1.668539	2007-09-05	MRNE010100000064.01					32.0		2022-01-18 09:29:51	9	MRNE0101000005E1	present		MRNE010100000006_METH_002	Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:239867		2007	0215448e-bf67-45bf-af96-04c84d50290b	c87cb4d8-0757-442f-9166-fbc0489b9149	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	32.0	1188950400000	1188950400000	1188950400000	2007	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum litorale	[]	29.2	19021	11.05	34.23					Institute of Estuarine & Coastal Studies				Marine Recorder Snapshot extract of surveys entered by Natural England	sample	EPSG:4326	en	MRNE010100000064	Contact: enquiries@naturalengland.org.uk				LINESTRING (1.873545 52.8515, 2.190993 52.987997912)							
Occurrence	287201033	66551	https://marineinfo.org/id/dataset/692	10	51.69551276341804	-4.9992153918722835	1975-05-10/1975-05-10			Natural Resources Wales		Gulf 8			2014-04-16 15:57:02	5	urn:catalog:Natural Resources Wales:66551:287201033	present			Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:239867		1975	026aa591-9333-4222-8914-95d7e3459b93	19abb100-fb94-4295-ab17-bb3e58674cf3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		168912000000	168912000000	168912000000	1975	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum litorale	['NO_DEPTH']	1.6	597	12.12	33.82			GB																				70.7		Europe
Occurrence	RSMP_87205_422108		https://marineinfo.org/id/dataset/5922	8	51.86139	-5.2244	2008-04-08	87205		CEFAS			0.0	0.0	2018-04-09 15:18:52	4	RSMP_87205_422108	present			Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:134744		2008	0296cc76-1469-4d51-907a-f3a7a6d3a8f5	a9a3bdc6-209f-4c66-aafd-ce5271cb63b3	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']	0.0	1207612800000	1207612800000	1207612800000	2008	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum littorale	[]	17.2	1063	11.95	34.15									RSMP Baseline Dataset	sample	EPSG:4326	en													
Occurrence	JNCCMNCR10222604	Marine Recorder Snapshot extract of surveys entered by JNCC	https://marineinfo.org/id/dataset/8015	2	53.13848	-4.291705	1992-06-02	129.013.001							2022-01-18 09:29:51	6	JNCCMNCR10222604	present		JNCCMNCR10000129_METH_001	Pycnogonum litorale	urn:lsid:marinespecies.org:taxname:239867		1992	02b09e55-6ccb-440e-a6bd-ee84cf4b6d5e	d2caf73d-7e52-4113-b2f6-b89b439a9a2f	['4bf79a01-65a9-4db6-b37b-18434f26ddfc', 'f92d5d7f-47a6-4605-9fd0-a8538dfde3fd']		707443200000	707443200000	707443200000	1992	False	False	True	False	Biota	Animalia	Arthropoda	Chelicerata	Pycnogonida	Pantopoda	Eupantopodida	Pycnogonoidea	Pycnogonidae	Pycnogonum	Pycnogonum litorale	1.0	2	1065	1274	1302	1358	379601	379611	1567	134595	239867	239867	Pycnogonum litorale	['NO_DEPTH']	-0.2	175	11.57	34.04									Marine Recorder Snapshot extract of surveys entered by JNCC	sample	EPSG:4326	en	JNCCMNCR10005047	Contact: MarineRecorder@jncc.gov.uk				LINESTRING (-4.31194 53.1255055, -4.21616 53.181272348)							
